class_id,class_name,other_id,other_name,centroid_cosine,rank,class_within_cos_distance,other_within_cos_distance,class_count,other_count
10,picture,0,wall,0.506468653678894,1,0.20646163821220398,0.3660656809806824,4750,60000
10,picture,8,window,0.46419182419776917,2,0.20646163821220398,0.27115172147750854,4750,60000
10,picture,2,cabinet,0.39941415190696716,3,0.20646163821220398,0.43253499269485474,4750,60000
10,picture,7,door,0.38190656900405884,4,0.20646163821220398,0.3157503306865692,4750,60000
10,picture,11,counter,0.36291226744651794,5,0.20646163821220398,0.3203465938568115,4750,56243
10,picture,19,otherfurniture,0.36224833130836487,6,0.20646163821220398,0.45324257016181946,4750,60000
10,picture,13,curtain,0.34739845991134644,7,0.20646163821220398,0.2081606239080429,4750,60000
10,picture,3,bed,0.3283398747444153,8,0.20646163821220398,0.3531089723110199,4750,60000
10,picture,6,table,0.325945645570755,9,0.20646163821220398,0.35484158992767334,4750,60000
10,picture,9,bookshelf,0.30946117639541626,10,0.20646163821220398,0.18420085310935974,4750,60000
10,picture,5,sofa,0.3000313937664032,11,0.20646163821220398,0.3269117772579193,4750,60000
10,picture,12,desk,0.2942138612270355,12,0.20646163821220398,0.3535507917404175,4750,60000
10,picture,14,refridgerator,0.28795936703681946,13,0.20646163821220398,0.2841833829879761,4750,57815
10,picture,1,floor,0.28234291076660156,14,0.20646163821220398,0.2195325791835785,4750,60000
10,picture,15,shower curtain,0.26979294419288635,15,0.20646163821220398,0.18167473375797272,4750,34595
10,picture,18,bathtub,0.23061993718147278,16,0.20646163821220398,0.22027043998241425,4750,24317
10,picture,17,sink,0.22236545383930206,17,0.20646163821220398,0.2564201354980469,4750,31642
10,picture,4,chair,0.21279950439929962,18,0.20646163821220398,0.22329531610012054,4750,60000
10,picture,16,toilet,0.18455836176872253,19,0.20646163821220398,0.20516462624073029,4750,36531
11,counter,2,cabinet,0.6023339033126831,1,0.3203465938568115,0.43253499269485474,56243,60000
11,counter,0,wall,0.5981929302215576,2,0.3203465938568115,0.3660656809806824,56243,60000
11,counter,17,sink,0.5315018892288208,3,0.3203465938568115,0.2564201354980469,56243,31642
11,counter,19,otherfurniture,0.5205408930778503,4,0.3203465938568115,0.45324257016181946,56243,60000
11,counter,12,desk,0.5132203698158264,5,0.3203465938568115,0.3535507917404175,56243,60000
11,counter,14,refridgerator,0.4992868900299072,6,0.3203465938568115,0.2841833829879761,56243,57815
11,counter,6,table,0.49037137627601624,7,0.3203465938568115,0.35484158992767334,56243,60000
11,counter,1,floor,0.46620941162109375,8,0.3203465938568115,0.2195325791835785,56243,60000
11,counter,5,sofa,0.4525853991508484,9,0.3203465938568115,0.3269117772579193,56243,60000
11,counter,3,bed,0.45021307468414307,10,0.3203465938568115,0.3531089723110199,56243,60000
11,counter,8,window,0.404073029756546,11,0.3203465938568115,0.27115172147750854,56243,60000
11,counter,7,door,0.3981354534626007,12,0.3203465938568115,0.3157503306865692,56243,60000
11,counter,18,bathtub,0.3956383764743805,13,0.3203465938568115,0.22027043998241425,56243,24317
11,counter,10,picture,0.36291226744651794,14,0.3203465938568115,0.20646163821220398,56243,4750
11,counter,9,bookshelf,0.3518982231616974,15,0.3203465938568115,0.18420085310935974,56243,60000
11,counter,13,curtain,0.3317917287349701,16,0.3203465938568115,0.2081606239080429,56243,60000
11,counter,15,shower curtain,0.32234495878219604,17,0.3203465938568115,0.18167473375797272,56243,34595
11,counter,16,toilet,0.32064929604530334,18,0.3203465938568115,0.20516462624073029,56243,36531
11,counter,4,chair,0.3202223479747772,19,0.3203465938568115,0.22329531610012054,56243,60000
7,door,0,wall,0.5567348599433899,1,0.3157503306865692,0.3660656809806824,60000,60000
7,door,2,cabinet,0.5463336706161499,2,0.3157503306865692,0.43253499269485474,60000,60000
7,door,19,otherfurniture,0.5034748315811157,3,0.3157503306865692,0.45324257016181946,60000,60000
7,door,8,window,0.4708925187587738,4,0.3157503306865692,0.27115172147750854,60000,60000
7,door,1,floor,0.4410569369792938,5,0.3157503306865692,0.2195325791835785,60000,60000
7,door,5,sofa,0.4352031648159027,6,0.3157503306865692,0.3269117772579193,60000,60000
7,door,3,bed,0.4265202581882477,7,0.3157503306865692,0.3531089723110199,60000,60000
7,door,9,bookshelf,0.42592257261276245,8,0.3157503306865692,0.18420085310935974,60000,60000
7,door,6,table,0.4117957651615143,9,0.3157503306865692,0.35484158992767334,60000,60000
7,door,14,refridgerator,0.40731364488601685,10,0.3157503306865692,0.2841833829879761,60000,57815
7,door,12,desk,0.4054606854915619,11,0.3157503306865692,0.3535507917404175,60000,60000
7,door,11,counter,0.3981354534626007,12,0.3157503306865692,0.3203465938568115,60000,56243
7,door,13,curtain,0.3888377547264099,13,0.3157503306865692,0.2081606239080429,60000,60000
7,door,10,picture,0.38190656900405884,14,0.3157503306865692,0.20646163821220398,60000,4750
7,door,18,bathtub,0.3579646944999695,15,0.3157503306865692,0.22027043998241425,60000,24317
7,door,17,sink,0.31837889552116394,16,0.3157503306865692,0.2564201354980469,60000,31642
7,door,4,chair,0.2977153956890106,17,0.3157503306865692,0.22329531610012054,60000,60000
7,door,15,shower curtain,0.2725164294242859,18,0.3157503306865692,0.18167473375797272,60000,34595
7,door,16,toilet,0.2693159580230713,19,0.3157503306865692,0.20516462624073029,60000,36531
