method,condition,miou,miou_delta,weak_mean,mean_keep_frac,iou_wall,iou_picture,iou_counter,iou_desk,iou_sink,iou_cabinet,iou_shower_curtain,iou_door
utonia_scannet_linear_head,clean,0.7576252459389736,0.0,0.6551112152622641,1.0,0.8558407937008065,0.3718263426051462,0.6589760221095746,0.6740558482292395,0.6806392346398299,0.7154339752613136,0.7409882309417555,0.7438588530489901
utonia_scannet_linear_head,random_keep0p2,0.7468823704549525,-0.010742875484021086,0.6406963274859919,0.19987206681392997,0.8515822740551471,0.33321547529601775,0.6473588861674872,0.6619347495153177,0.6606160572018795,0.7091801789729159,0.7461199731708025,0.7264489720775226
utonia_scannet_linear_head,structured_b1p28m_keep0p2,0.283412126515768,-0.4742131194232056,0.2105564528028417,0.19403241517711436,0.4980688272325394,0.11928845976881308,0.21317441614908053,0.24529400313502472,0.1754302477576516,0.2721082941696549,0.17606599824595776,0.27253375039370936
utonia_scannet_linear_head,masked_model_keep0p2,0.2360021674062896,-0.5216230785326841,0.19477941941470672,0.20451823433081393,0.44488708104858565,0.05925326277963155,0.23355931493363674,0.19967651230218217,0.20304065219786266,0.16728933037712998,0.2713331937959992,0.2293036695165047
utonia_scannet_linear_head,fixed_points_4000,0.41900463664337373,-0.3386206092955999,0.33417020434673284,0.03423020268751497,0.6532739846056456,0.02001379601065358,0.381124994347898,0.3424724837394151,0.38216675822803753,0.3748856388573246,0.5306817243129062,0.30784603493089513
utonia_scannet_linear_head,feature_zero,0.7471965490749857,-0.010428696863987952,0.6413221621725074,1.0,0.8442171370486721,0.3319202448912053,0.6508610836606867,0.6618045374350818,0.6621086840264917,0.7082071353249397,0.7647590104802745,0.709594439388872
utonia_scannet_linear_head,feat_zero_color_normal,0.7475188132281414,-0.010106432710832225,0.641694143813259,1.0,0.8456090929642909,0.3349086001018521,0.6487513116474289,0.6607643619251458,0.6592012792997511,0.711651582878286,0.7651924491860568,0.7113894216542923
utonia_scannet_linear_head,feat_zero_coord,0.758617958484446,0.0009927125454723962,0.6576728190911292,1.0,0.8560569890563879,0.38662835571647075,0.6619004441547951,0.6750847638755306,0.6769783348605832,0.7157757439947429,0.7409900055268972,0.7463520855088849
utonia_scannet_linear_head,raw_wo_color,0.7557334114269572,-0.001891834512016466,0.651070556698925,1.0,0.8517099421124242,0.35183379758588657,0.6513620424003508,0.6609854491633749,0.6790659833762481,0.7083359808036599,0.7715318186016437,0.7343788249613109
utonia_scannet_linear_head,raw_wo_normal,0.7525990568140907,-0.0050261891248829516,0.6494605645558027,1.0,0.8512731501283995,0.35216363180664056,0.6570160958978164,0.6752255813056722,0.6654800386213839,0.7108694345602783,0.7417890116543057,0.7436801580445221
utonia_scannet_linear_head,raw_wo_color_normal,0.7477170907789698,-0.009908155160003873,0.641093523734919,1.0,0.8448241105914605,0.3340244844721376,0.6486835853433576,0.659532383282815,0.6585115943124453,0.7103090485829712,0.7667166313468062,0.7098769388039008
