method,condition,miou,miou_delta,weak_mean,mean_keep_frac,iou_wall,iou_picture,iou_counter,iou_desk,iou_sink,iou_cabinet,iou_shower_curtain,iou_door
utonia_scannet_linear_head,clean,0.7580185294461793,0.0,0.6569919808918702,1.0,0.8563834778057575,0.37939253609370727,0.6595918539860097,0.677680361149565,0.6790552820275578,0.714906638965247,0.739772209041211,0.7485449849797929
utonia_scannet_linear_head,random_keep0p8,0.7578621683216752,-0.00015636112450412298,0.6572754166430527,0.7999155860242971,0.8566102577989867,0.3785463368703145,0.6618657867824956,0.6754717666723189,0.6792985730775838,0.7169528343178899,0.7432605979266934,0.7455320208540727
utonia_scannet_linear_head,random_keep0p5,0.7581014444109019,8.29149647225691e-05,0.6581792986867686,0.4998962889644633,0.8556953454176178,0.3787647137407411,0.667912303282045,0.675245751938262,0.6749064638906167,0.7183925676245576,0.748277520556756,0.7437557697744015
utonia_scannet_linear_head,random_keep0p2,0.7468912708443749,-0.011127258601804413,0.6407942260788186,0.199951248382532,0.849992719983476,0.3315586391870133,0.6529666919600889,0.6637967223655588,0.6603905328293159,0.7083230286782672,0.7426510106320828,0.7258729568994033
utonia_scannet_linear_head,random_keep0p1,0.7230496986910209,-0.03496883075515844,0.6106319579797362,0.10000892757662899,0.8347920429561301,0.2285027289034769,0.6243851125338659,0.6486715326803529,0.632795040865479,0.6949412290659018,0.7447018751235159,0.7004261866855609
utonia_scannet_linear_head,structured_b1p28m_keep0p8,0.6853511858371515,-0.07266734360902782,0.5852296951529238,0.795895261835403,0.8085337374538368,0.3169202882257098,0.5993157414555405,0.6026325455255273,0.5866704828233195,0.6429803537887818,0.6784868779909011,0.6696015762606866
utonia_scannet_linear_head,structured_b1p28m_keep0p5,0.5272397745054426,-0.23077875494073674,0.4193735634532524,0.4859426647235669,0.7002741156148788,0.20310676805808925,0.3998865522966241,0.4194836591311675,0.36682179403439996,0.49793738456255554,0.5183916517755351,0.5299871343143955
utonia_scannet_linear_head,structured_b1p28m_keep0p2,0.28998294244824485,-0.46803558699793446,0.20842368689449148,0.21209021601541997,0.506284508069685,0.10346853677028046,0.1639035454681749,0.22113790713664822,0.18478046130290898,0.24617139705272498,0.2810648032743383,0.2584391572563645
utonia_scannet_linear_head,structured_b1p28m_keep0p1,0.1912294105164935,-0.5667891189296859,0.1342540567840386,0.10594917921287546,0.389303351283545,0.07608720951497436,0.12804813971526505,0.14289139827441508,0.15073127904237768,0.191170838046862,0.09575294691635391,0.15509658597802214
utonia_scannet_linear_head,masked_model_keep0p5,0.3935151888049554,-0.3645033406412239,0.32725907264526466,0.5027020840742402,0.5780993390544449,0.22520531923949522,0.3397143281775814,0.33747444106515007,0.3079728901503655,0.3439704874702793,0.30008129137150147,0.4363947510424797
utonia_scannet_linear_head,masked_model_keep0p2,0.22411391034365616,-0.5339046191025232,0.18246803182336485,0.20325047638497415,0.4451861975512471,0.0886285427057959,0.22355294417491187,0.1812240005340143,0.16672554367025103,0.18587968263888976,0.21368697229611675,0.21757853674357427
utonia_scannet_linear_head,masked_model_keep0p1,0.1479738600391208,-0.6100446694070585,0.11084004623543377,0.09750126228876374,0.38350837613110705,0.08715396771845088,0.11259379996672407,0.10386104828658413,0.09039431496446848,0.11346671356928566,0.12887314762504884,0.13953733151747436
utonia_scannet_linear_head,fixed_points_16000,0.7121794250774909,-0.04583910436868843,0.5974943873312709,0.13692081075005988,0.8277173126523442,0.17806704850402524,0.6266130682205667,0.6562824650589392,0.6338320992997691,0.6768668702321406,0.7191057048690153,0.6916934551344402
utonia_scannet_linear_head,fixed_points_8000,0.6230489102127863,-0.134969619233393,0.5062203264080868,0.06846040537502994,0.7785296764352949,0.06796349331525521,0.5623658020380804,0.5545701617833674,0.5307922454173771,0.5657916766520142,0.6704202986877195,0.5916386069627937
utonia_scannet_linear_head,fixed_points_4000,0.42429305336186696,-0.33372547608431236,0.3395402524227943,0.03423020268751497,0.6497413273040121,0.019683722707945144,0.40448922987451613,0.35772455922062796,0.3929032862091562,0.3882975957697901,0.5044662443184806,0.30921712885904395
utonia_scannet_linear_head,feature_zero,0.7477332733134819,-0.010285256132697373,0.6409223848751413,1.0,0.84370110490824,0.33075592101604984,0.6495389826696836,0.6600744617454257,0.6589390348278353,0.7110564221389541,0.764366865996659,0.7117250057313813
utonia_scannet_linear_head,feat_zero_color_normal,0.7470656935412924,-0.010952835904886937,0.6412488336633999,1.0,0.8448273569907633,0.3314450110596652,0.6487487767370331,0.660003023338027,0.6590201457495324,0.707417026887296,0.7672442948942094,0.7148635569780368
utonia_scannet_linear_head,feat_zero_coord,0.7583512374858797,0.0003327080397004245,0.6581137310169484,1.0,0.8560662959023764,0.3923912208006371,0.659097002709415,0.6764901077570722,0.6754451129415409,0.7155651769755538,0.7419989726363417,0.7458085232980783
utonia_scannet_linear_head,raw_wo_color,0.7554223843214867,-0.0025961451246926392,0.6520772890342883,1.0,0.8527551717489872,0.36461929088468664,0.6520927189329551,0.6611743322269638,0.6753617110505341,0.709838324716207,0.7665146880590982,0.7349399573695731
utonia_scannet_linear_head,raw_wo_normal,0.7526780238834708,-0.005340505562708486,0.649497247660973,1.0,0.8507540473792492,0.3566774530500141,0.6540931701852523,0.6755761225455633,0.6621830784501752,0.7125981707816182,0.741716272148072,0.743636466466116
utonia_scannet_linear_head,raw_wo_color_normal,0.7480233066033481,-0.009995222842831164,0.6411193096490285,1.0,0.8454969730574962,0.33387888122183657,0.6479371398784637,0.6595767434675665,0.6604244483604685,0.7102353833821304,0.7658283437717064,0.7099542274610279
