pair,positive_class,negative_class,train_bal_acc
picture_vs_wall,picture,wall,1.0
counter_vs_cabinet,counter,cabinet,1.0
desk_vs_table,desk,table,1.0
sink_vs_cabinet,sink,cabinet,1.0
door_vs_wall,door,wall,0.9988166689872742
shower_curtain_vs_wall,shower curtain,wall,0.9999999403953552
