[info] load_weight missing=0 unexpected=0
stress,batches,enc2d_loss_mean
clean,20,3.443390
local_surface_destroy,20,3.939154
z_flip,20,3.983624
xy_swap,20,3.460458
roll_90_x,20,4.022094
