class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,123154,0.5936791970767733,0.5915656196084835,0.5957927745450631,207442
10,picture,topk,2,176834,0.852450323463908,0.8509241236483897,0.8539765232794264,207442
10,picture,topk,3,191116,0.9212984834315134,0.9201397075304606,0.9224572593325663,207442
10,picture,topk,5,200034,0.9642888132586458,0.9634902424485241,0.9650873840687675,207442
10,picture,topk,10,205726,0.9917278082548375,0.9913380329967807,0.9921175835128944,207442
10,picture,topk,20,207442,1.0,1.0,1.0,207442
10,picture,topk_plus_confusion_graph,1,205222,0.989298213476538,0.9888554217678696,0.9897410051852065,207442
10,picture,topk_plus_confusion_graph,2,207215,0.9989057182248532,0.9987634412709088,0.9990479951787976,207442
10,picture,topk_plus_confusion_graph,3,207392,0.9997589687719941,0.9996921663763876,0.9998257711676006,207442
10,picture,topk_plus_confusion_graph,5,207437,0.9999758968771995,0.9999547698131658,0.9999970239412331,207442
11,counter,topk,1,182807,0.8250902690016249,0.8235084087564961,0.8266721292467536,221560
11,counter,topk,2,201997,0.9117033760606608,0.9105219427169029,0.9128848094044186,221560
11,counter,topk,3,208245,0.9399034121682615,0.93891377291391,0.9408930514226129,221560
11,counter,topk,5,213774,0.964858277667449,0.9640915278555513,0.9656250274793468,221560
11,counter,topk,10,219211,0.9893979057591623,0.9889714325868646,0.98982437893146,221560
11,counter,topk,20,221560,1.0,1.0,1.0,221560
11,counter,topk_plus_confusion_graph,1,198226,0.8946831558042968,0.8934049701406201,0.8959613414679735,221560
11,counter,topk_plus_confusion_graph,2,212377,0.9585529879039538,0.9577230127918617,0.959382963016046,221560
11,counter,topk_plus_confusion_graph,3,213863,0.9652599747246795,0.9644974611014947,0.9660224883478643,221560
11,counter,topk_plus_confusion_graph,5,216246,0.9760155262682795,0.9753784317723027,0.9766526207642563,221560
7,door,topk,1,1406808,0.8791500514626066,0.878645012484634,0.8796550904405792,1600191
7,door,topk,2,1540211,0.9625169745361647,0.9622226735771906,0.9628112754951388,1600191
7,door,topk,3,1582382,0.9888707035597626,0.9887081585016306,0.9890332486178945,1600191
7,door,topk,5,1594297,0.9963166896951676,0.9962228280814933,0.9964105513088419,1600191
7,door,topk,10,1599740,0.9997181586448117,0.9996921503841496,0.9997441669054739,1600191
7,door,topk,20,1600191,1.0,1.0,1.0,1600191
7,door,topk_plus_confusion_graph,1,1543601,0.964635471640573,0.9643492939934182,0.9649216492877277,1600191
7,door,topk_plus_confusion_graph,2,1592280,0.9950562151643148,0.994947541640777,0.9951648886878525,1600191
7,door,topk_plus_confusion_graph,3,1598635,0.9990276160783307,0.9989793237893252,0.9990759083673362,1600191
7,door,topk_plus_confusion_graph,5,1599890,0.9998118974547413,0.9997906490345562,0.9998331458749264,1600191
