scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0251_00,8,Utonia,3103,7016,2423,165,0.052106939256191254
scene0251_00,8,PTv3_supervised,3105,6266,2870,198,0.08170843869447708
scene0251_00,16,Concerto decoder,1953,2889,1568,232,0.1222541332244873
scene0251_00,16,Sonata linear,3741,16487,2619,484,0.08750308305025101
scene0251_00,16,Utonia,3103,7016,2240,184,0.08691408485174179
scene0251_00,16,PTv3_supervised,3105,6266,2795,209,0.15565328299999237
scene0598_01,4,Concerto decoder,1632,2871,1580,9,0.05543897673487663
scene0598_01,4,Sonata linear,2291,2733,2243,11,0.06954853236675262
scene0598_01,4,Utonia,1417,2298,1375,29,0.05058256909251213
scene0598_01,4,PTv3_supervised,3005,633,2979,34,0.09047304838895798
scene0598_01,8,Concerto decoder,1632,2871,1571,14,0.07866179198026657
scene0598_01,8,Sonata linear,2291,2733,2240,26,0.10170473903417587
scene0598_01,8,Utonia,1417,2298,1354,30,0.07420508563518524
scene0598_01,8,PTv3_supervised,3005,633,2978,40,0.13462038338184357
scene0598_01,16,Concerto decoder,1632,2871,1552,29,0.1718328446149826
scene0598_01,16,Sonata linear,2291,2733,2238,46,0.19523552060127258
scene0598_01,16,Utonia,1417,2298,1336,68,0.175330251455307
scene0598_01,16,PTv3_supervised,3005,633,2968,45,0.2265123873949051
scene0583_01,4,Concerto decoder,2197,3325,2035,88,0.06570246815681458
scene0583_01,4,Sonata linear,1496,6951,1258,93,0.0425063893198967
scene0583_01,4,Utonia,1587,6695,1376,107,0.04328354448080063
scene0583_01,4,PTv3_supervised,1390,9563,1291,43,0.04720883071422577
scene0583_01,8,Concerto decoder,2197,3325,1893,123,0.10338786244392395
scene0583_01,8,Sonata linear,1496,6951,1125,146,0.07335546612739563
scene0583_01,8,Utonia,1587,6695,1247,125,0.07101082801818848
scene0583_01,8,PTv3_supervised,1390,9563,1266,57,0.08993914723396301
scene0583_01,16,Concerto decoder,2197,3325,1846,251,0.17316050827503204
scene0583_01,16,Sonata linear,1496,6951,977,206,0.1353302299976349
scene0583_01,16,Utonia,1587,6695,1053,266,0.11204194277524948
scene0583_01,16,PTv3_supervised,1390,9563,1241,115,0.16743065416812897
scene0338_00,4,Concerto decoder,1607,1467,1472,62,0.04967811331152916
scene0338_00,4,Sonata linear,733,2906,561,55,0.03163066878914833
scene0338_00,4,Utonia,2108,2175,1925,77,0.05238658934831619
scene0338_00,4,PTv3_supervised,792,460,693,67,0.044043391942977905
scene0338_00,8,Concerto decoder,1607,1467,1457,97,0.08420780301094055
scene0338_00,8,Sonata linear,733,2906,535,100,0.07175424695014954
scene0338_00,8,Utonia,2108,2175,1902,150,0.0931362509727478
scene0338_00,8,PTv3_supervised,792,460,680,110,0.09478311985731125
scene0338_00,16,Concerto decoder,1607,1467,1401,123,0.16996720433235168
scene0338_00,16,Sonata linear,733,2906,497,162,0.14224272966384888
scene0338_00,16,Utonia,2108,2175,1825,169,0.15332162380218506
scene0338_00,16,PTv3_supervised,792,460,667,140,0.24452519416809082
scene0046_00,4,Concerto decoder,1337,5991,1023,126,0.03171458840370178
scene0046_00,4,Sonata linear,1680,12121,1310,184,0.02927500568330288
scene0046_00,4,Utonia,1311,9371,925,180,0.024145623669028282
scene0046_00,4,PTv3_supervised,3578,9443,3317,123,0.052329421043395996
scene0046_00,8,Concerto decoder,1337,5991,967,164,0.06825274229049683
scene0046_00,8,Sonata linear,1680,12121,1187,262,0.05016089975833893
scene0046_00,8,Utonia,1311,9371,783,188,0.04618528485298157
scene0046_00,8,PTv3_supervised,3578,9443,3213,143,0.09771540760993958
scene0046_00,16,Concerto decoder,1337,5991,895,211,0.1306115686893463
scene0046_00,16,Sonata linear,1680,12121,991,245,0.08940970152616501
scene0046_00,16,Utonia,1311,9371,629,209,0.07454283535480499
scene0046_00,16,PTv3_supervised,3578,9443,3128,256,0.17521215975284576
scene0378_00,4,Concerto decoder,1042,2601,872,104,0.027551259845495224
scene0378_00,4,Sonata linear,1409,9342,1066,89,0.027533257380127907
scene0378_00,4,Utonia,1345,5413,1046,114,0.027533257380127907
scene0378_00,4,PTv3_supervised,1247,1067,1141,106,0.03657899796962738
scene0378_00,8,Concerto decoder,1042,2601,837,164,0.053203362971544266
scene0378_00,8,Sonata linear,1409,9342,874,131,0.03833414241671562
scene0378_00,8,Utonia,1345,5413,908,158,0.0462367907166481
scene0378_00,8,PTv3_supervised,1247,1067,1097,158,0.07948552072048187
scene0378_00,16,Concerto decoder,1042,2601,750,217,0.13479505479335785
scene0378_00,16,Sonata linear,1409,9342,662,78,0.06942269206047058
scene0378_00,16,Utonia,1345,5413,660,119,0.0790264829993248
scene0378_00,16,PTv3_supervised,1247,1067,1026,207,0.15530773997306824
scene0609_01,4,Concerto decoder,874,421,834,21,0.024778781458735466
scene0609_01,4,Sonata linear,269,760,215,18,0.012631436809897423
scene0609_01,4,Utonia,309,1122,245,10,0.010954000055789948
scene0609_01,4,PTv3_supervised,451,132,423,38,0.017573682591319084
scene0609_01,8,Concerto decoder,874,421,834,39,0.0444689616560936
scene0609_01,8,Sonata linear,269,760,206,41,0.02444104291498661
scene0609_01,8,Utonia,309,1122,221,12,0.017326008528470993
scene0609_01,8,PTv3_supervised,451,132,422,59,0.03909891098737717
scene0609_01,16,Concerto decoder,874,421,822,44,0.10028595477342606
scene0609_01,16,Sonata linear,269,760,193,42,0.05407200753688812
scene0609_01,16,Utonia,309,1122,193,32,0.03959426283836365
scene0609_01,16,PTv3_supervised,451,132,416,69,0.08593204617500305
scene0609_03,4,Concerto decoder,77,204,60,1,0.004069651011377573
scene0609_03,4,Sonata linear,56,768,25,7,0.0032523851841688156
scene0609_03,4,Utonia,238,665,186,10,0.009840549901127815
scene0609_03,4,PTv3_supervised,78,138,63,10,0.00833944883197546
scene0609_03,8,Concerto decoder,77,204,61,6,0.01310961414128542
scene0609_03,8,Sonata linear,56,768,22,8,0.0075888982973992825
scene0609_03,8,Utonia,238,665,164,16,0.01416038442403078
scene0609_03,8,PTv3_supervised,78,138,60,11,0.016895724460482597
scene0609_03,16,Concerto decoder,77,204,48,9,0.03063913621008396
scene0609_03,16,Sonata linear,56,768,16,6,0.010224164463579655
scene0609_03,16,Utonia,238,665,131,6,0.0228167325258255
scene0609_03,16,PTv3_supervised,78,138,61,15,0.050837282091379166
scene0553_02,4,Concerto decoder,279,414,230,33,0.017533067613840103
scene0553_02,4,Sonata linear,256,1068,202,29,0.014187942259013653
scene0553_02,4,Utonia,259,910,192,20,0.013534297235310078
scene0553_02,4,PTv3_supervised,312,359,240,21,0.01582205481827259
scene0553_02,8,Concerto decoder,279,414,223,37,0.03816133365035057
scene0553_02,8,Sonata linear,256,1068,181,26,0.029452476650476456
scene0553_02,8,Utonia,259,910,176,28,0.027453090995550156
scene0553_02,8,PTv3_supervised,312,359,255,56,0.032509226351976395
scene0553_02,16,Concerto decoder,279,414,213,79,0.09908489882946014
scene0553_02,16,Sonata linear,256,1068,155,50,0.056001998484134674
scene0553_02,16,Utonia,259,910,127,17,0.04760073870420456
scene0553_02,16,PTv3_supervised,312,359,244,92,0.10725545883178711
scene0488_01,4,Concerto decoder,1068,1675,873,90,0.04297269508242607
scene0488_01,4,Sonata linear,1471,3414,1146,107,0.038898009806871414
scene0488_01,4,Utonia,1297,2973,1074,137,0.037754666060209274
scene0488_01,4,PTv3_supervised,988,1138,843,96,0.043714649975299835
scene0488_01,8,Concerto decoder,1068,1675,804,123,0.07627561688423157
scene0488_01,8,Sonata linear,1471,3414,1034,141,0.0665450319647789
scene0488_01,8,Utonia,1297,2973,986,144,0.06479352712631226
scene0488_01,8,PTv3_supervised,988,1138,835,157,0.09247703850269318
scene0488_01,16,Concerto decoder,1068,1675,776,192,0.1682782918214798
scene0488_01,16,Sonata linear,1471,3414,927,171,0.12585294246673584
scene0488_01,16,Utonia,1297,2973,886,147,0.10277929902076721
scene0488_01,16,PTv3_supervised,988,1138,786,171,0.18879766762256622
scene0131_01,4,Concerto decoder,5172,2071,4949,92,0.06411717087030411
scene0131_01,4,Sonata linear,5568,12469,5293,103,0.0596458800137043
scene0131_01,4,Utonia,5604,5044,5237,155,0.06368724256753922
scene0131_01,4,PTv3_supervised,3899,10439,3690,104,0.05619926005601883
scene0131_01,8,Concerto decoder,5172,2071,4946,168,0.11022736132144928
scene0131_01,8,Sonata linear,5568,12469,5248,158,0.09426972270011902
scene0131_01,8,Utonia,5604,5044,5106,175,0.0899345800280571
scene0131_01,8,PTv3_supervised,3899,10439,3676,147,0.09773784130811691
scene0131_01,16,Concerto decoder,5172,2071,4865,202,0.15845854580402374
scene0131_01,16,Sonata linear,5568,12469,5130,229,0.13188159465789795
scene0131_01,16,Utonia,5604,5044,4994,309,0.14522381126880646
scene0131_01,16,PTv3_supervised,3899,10439,3625,204,0.17333419620990753
scene0702_01,4,Concerto decoder,388,4584,325,52,0.02339613065123558
scene0702_01,4,Sonata linear,635,3886,506,47,0.02497837506234646
scene0702_01,4,Utonia,588,1981,496,41,0.030336912721395493
scene0702_01,4,PTv3_supervised,790,5287,686,49,0.036454927176237106
scene0702_01,8,Concerto decoder,388,4584,233,43,0.04337461292743683
scene0702_01,8,Sonata linear,635,3886,380,98,0.03426088020205498
scene0702_01,8,Utonia,588,1981,491,110,0.06006202474236488
scene0702_01,8,PTv3_supervised,790,5287,640,165,0.06797324866056442
scene0702_01,16,Concerto decoder,388,4584,208,78,0.10335224866867065
scene0702_01,16,Sonata linear,635,3886,290,129,0.04700322821736336
scene0702_01,16,Utonia,588,1981,416,155,0.07681272178888321
scene0702_01,16,PTv3_supervised,790,5287,445,161,0.12324634194374084
scene0025_01,4,Concerto decoder,1322,5609,1115,138,0.031161073595285416
scene0025_01,4,Sonata linear,1175,6623,909,123,0.026643751189112663
scene0025_01,4,Utonia,1248,6095,972,137,0.028099438175559044
scene0025_01,4,PTv3_supervised,1940,8418,1721,215,0.041557490825653076
scene0025_01,8,Concerto decoder,1322,5609,1020,163,0.058903634548187256
scene0025_01,8,Sonata linear,1175,6623,830,141,0.04798129200935364
