variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
proto_adapt_tau0p05_lam0p2,0.70892028,-0.00058533,0.82328874,0.88954098,0.60433028,-0.00058447,0.36147182,-0.00040154,0.46930708,-0.00661872,0.62890465,0.60320502,0.64746741,0.61086428,0.65025046,0.72814833
proto_tau0p2_lam0p4,0.70888752,-0.00061809,0.82360412,0.88947217,0.60437583,-0.00053892,0.36168966,-0.00018371,0.46671841,-0.00920739,0.62882460,0.60324691,0.64786359,0.61056229,0.65026048,0.72818328
multiproto8_adapt_tau0p05_lam0p2,0.70885031,-0.00065531,0.82369851,0.88946426,0.60431296,-0.00060180,0.36140489,-0.00046847,0.46796695,-0.00795885,0.62951251,0.60184072,0.64848392,0.61002111,0.65021712,0.72871042
multiproto8_adapt_tau0p1_lam0p4,0.70880179,-0.00070383,0.82373075,0.88945433,0.60427366,-0.00064110,0.36116794,-0.00070543,0.46737401,-0.00855179,0.62932170,0.60183784,0.64857708,0.61010602,0.65018403,0.72872100
proto_tau0p1_lam0p2,0.70878467,-0.00072094,0.82375905,0.88942797,0.60425917,-0.00065558,0.36153509,-0.00033828,0.46506011,-0.01086569,0.62898519,0.60310875,0.64757074,0.61042832,0.65005675,0.72812935
multiproto4_adapt_tau0p05_lam0p2,0.70877160,-0.00073402,0.82360188,0.88942181,0.60424064,-0.00067411,0.36143271,-0.00044065,0.46772592,-0.00819988,0.62880261,0.60202534,0.64818087,0.61007043,0.65018189,0.72899065
multiproto4_adapt_tau0p1_lam0p4,0.70876280,-0.00074281,0.82362498,0.88943488,0.60422090,-0.00069385,0.36122043,-0.00065294,0.46735473,-0.00857107,0.62874134,0.60200116,0.64825694,0.61029487,0.65021967,0.72881191
proto_tau0p05_lam0p1,0.70868641,-0.00081921,0.82393402,0.88934952,0.60411577,-0.00079898,0.36133694,-0.00053643,0.46425025,-0.01167555,0.62936450,0.60279339,0.64709665,0.61020340,0.64979213,0.72822338
multiproto8_tau0p2_lam0p4,0.70867096,-0.00083465,0.82441004,0.88926683,0.60421398,-0.00070077,0.36118451,-0.00068885,0.46198938,-0.01393643,0.62985244,0.60162401,0.64883772,0.60939548,0.64996659,0.72863714
multiproto4_tau0p2_lam0p4,0.70862733,-0.00087828,0.82433393,0.88926850,0.60419352,-0.00072124,0.36141941,-0.00045395,0.46167603,-0.01424977,0.62922867,0.60187549,0.64826446,0.60945203,0.65010165,0.72901290
multiproto8_tau0p05_lam0p1,0.70858401,-0.00092161,0.82447239,0.88918447,0.60410038,-0.00081438,0.36092182,-0.00095155,0.46206651,-0.01385930,0.63042210,0.60146962,0.64846667,0.60895034,0.64955428,0.72891780
multiproto8_tau0p1_lam0p2,0.70856061,-0.00094500,0.82464908,0.88916594,0.60412443,-0.00079032,0.36107744,-0.00079593,0.45996471,-0.01596109,0.63036186,0.60144842,0.64862185,0.60891862,0.64959804,0.72884481
multiproto4_tau0p1_lam0p2,0.70844705,-0.00105857,0.82451938,0.88916290,0.60402818,-0.00088657,0.36123410,-0.00063927,0.45956460,-0.01636120,0.62936131,0.60163708,0.64802584,0.60909097,0.64971956,0.72912840
multiproto4_tau0p05_lam0p1,0.70843387,-0.00107174,0.82433833,0.88914211,0.60394360,-0.00097115,0.36104940,-0.00082397,0.46149767,-0.01442813,0.62925769,0.60175063,0.64797809,0.60891643,0.64946902,0.72918396
knn_adapt_k50_tau0p1_lam0p2,0.70834259,-0.00116302,0.82419068,0.88927530,0.60356733,-0.00134743,0.36097558,-0.00089779,0.46645809,-0.00946771,0.62869456,0.59913138,0.64773945,0.60934277,0.64991480,0.72917275
knn_adapt_k50_tau0p05_lam0p2,0.70833826,-0.00116735,0.82419344,0.88927538,0.60355854,-0.00135621,0.36097656,-0.00089680,0.46644845,-0.00947735,0.62867058,0.59912087,0.64773469,0.60936901,0.64990126,0.72913685
knn_adapt_k10_tau0p1_lam0p2,0.70828603,-0.00121958,0.82421342,0.88926005,0.60345712,-0.00145763,0.36091655,-0.00095681,0.46650148,-0.00942432,0.62855076,0.59859041,0.64794632,0.60936259,0.64988158,0.72895163
knn_adapt_k10_tau0p05_lam0p2,0.70828597,-0.00121965,0.82421520,0.88925983,0.60345414,-0.00146061,0.36091655,-0.00095681,0.46650148,-0.00942432,0.62855117,0.59858377,0.64793872,0.60936107,0.64987610,0.72895163
knn_adapt_k20_tau0p05_lam0p2,0.70828338,-0.00122223,0.82418451,0.88926164,0.60346899,-0.00144576,0.36091872,-0.00095465,0.46652076,-0.00940504,0.62849091,0.59875939,0.64786020,0.60936231,0.64985448,0.72903691
knn_adapt_k20_tau0p1_lam0p2,0.70828129,-0.00122432,0.82418127,0.88926161,0.60346416,-0.00145060,0.36093774,-0.00093563,0.46651112,-0.00941468,0.62848037,0.59875852,0.64780994,0.60936368,0.64985620,0.72904264
knn_adapt_k5_tau0p1_lam0p2,0.70827663,-0.00122899,0.82422372,0.88925284,0.60336268,-0.00155207,0.36091882,-0.00095454,0.46648702,-0.00943878,0.62836711,0.59829289,0.64784083,0.60930750,0.64989125,0.72892039
knn_adapt_k5_tau0p05_lam0p2,0.70827390,-0.00123171,0.82422400,0.88925231,0.60335707,-0.00155768,0.36092237,-0.00095100,0.46648220,-0.00944360,0.62834851,0.59828775,0.64782280,0.60930835,0.64988935,0.72892039
proto_adapt_tau0p05_lam0p4,0.70798102,-0.00152460,0.82443565,0.88915362,0.60336398,-0.00155078,0.36046859,-0.00140477,0.46234128,-0.01358452,0.62900152,0.60022914,0.64626989,0.61000385,0.64931037,0.72826448
knn_k50_tau0p1_lam0p1,0.70793037,-0.00157524,0.82515359,0.88885017,0.60330736,-0.00160739,0.36057889,-0.00129447,0.45912592,-0.01679988,0.62967415,0.59860596,0.64768157,0.60741500,0.64927370,0.72992229
knn_k50_tau0p05_lam0p1,0.70791982,-0.00158580,0.82515706,0.88884713,0.60328845,-0.00162630,0.36058532,-0.00128804,0.45910664,-0.01681916,0.62964781,0.59860469,0.64759676,0.60742454,0.64925076,0.72990930
knn_k10_tau0p1_lam0p1,0.70786938,-0.00163624,0.82517373,0.88882027,0.60317596,-0.00173879,0.36054631,-0.00132705,0.45919341,-0.01673239,0.62948916,0.59802443,0.64783818,0.60734919,0.64924933,0.72973514
knn_k10_tau0p05_lam0p1,0.70786478,-0.00164083,0.82517157,0.88881904,0.60316479,-0.00174997,0.36055262,-0.00132074,0.45919341,-0.01673239,0.62944346,0.59801481,0.64784101,0.60733929,0.64924850,0.72971380
knn_k20_tau0p05_lam0p1,0.70785985,-0.00164576,0.82514683,0.88882294,0.60318949,-0.00172526,0.36055755,-0.00131581,0.45921752,-0.01670828,0.62943076,0.59823212,0.64772910,0.60736579,0.64918659,0.72982454
knn_k20_tau0p1_lam0p1,0.70785795,-0.00164767,0.82514028,0.88882436,0.60318578,-0.00172897,0.36056163,-0.00131174,0.45921270,-0.01671311,0.62939041,0.59822352,0.64773577,0.60737742,0.64920386,0.72980784
knn_k5_tau0p1_lam0p1,0.70785614,-0.00164947,0.82519233,0.88881798,0.60308266,-0.00183209,0.36056662,-0.00130674,0.45916449,-0.01676131,0.62927912,0.59779185,0.64771823,0.60729548,0.64927818,0.72964915
knn_k5_tau0p05_lam0p1,0.70785559,-0.00165003,0.82519355,0.88881765,0.60308225,-0.00183251,0.36057139,-0.00130198,0.45915967,-0.01676613,0.62927952,0.59779655,0.64770782,0.60729466,0.64927664,0.72964915
multiproto8_adapt_tau0p05_lam0p4,0.70747659,-0.00202902,0.82512874,0.88883908,0.60267699,-0.00223777,0.35976567,-0.00210770,0.45956460,-0.01636120,0.63026842,0.59536143,0.64785324,0.60762992,0.64901638,0.72884385
multiproto4_adapt_tau0p05_lam0p4,0.70734027,-0.00216534,0.82494497,0.88878510,0.60259414,-0.00232061,0.35995178,-0.00192158,0.45882705,-0.01709876,0.62870230,0.59632456,0.64728032,0.60766989,0.64889555,0.72933459
proto_tau0p05_lam0p2,0.70722840,-0.00227721,0.82584383,0.88857053,0.60265999,-0.00225476,0.35923950,-0.00263387,0.45039095,-0.02553485,0.63007451,0.59908968,0.64526989,0.60813971,0.64808897,0.72871766
proto_tau0p1_lam0p4,0.70703905,-0.00246656,0.82596512,0.88855263,0.60241918,-0.00249557,0.35861152,-0.00326184,0.44861696,-0.02730884,0.62924120,0.59880374,0.64575416,0.60833271,0.64825658,0.72793433
multiproto8_tau0p05_lam0p2,0.70663748,-0.00286814,0.82687909,0.88804560,0.60208101,-0.00283374,0.35803705,-0.00383632,0.44505452,-0.03087128,0.63162900,0.59476828,0.64790628,0.60448234,0.64797108,0.72977305
multiproto4_tau0p05_lam0p2,0.70629439,-0.00321123,0.82657969,0.88796146,0.60173261,-0.00318215,0.35827229,-0.00360107,0.44407593,-0.03184987,0.62964362,0.59568072,0.64704659,0.60394925,0.64764824,0.72988751
