dataset,clean_loss,coord_mlp_loss,global_perm_loss,cross_image_loss,cross_scene_loss,mean_corruption_loss,coord_delta_vs_clean,mean_corruption_delta_vs_clean,relative_position_mean,closure_fraction_mean,closure_fraction_global,closure_fraction_cross_image,closure_fraction_cross_scene,gate_hint
arkit,5.834015,6.695971,6.769793,6.876039,6.902062,6.849298,0.8619560000000002,1.0152830000000002,0.8489810230251074,0.15101897697489264,0.0788883688225197,0.17280600062954354,0.19296060941138338,weak
scannet,5.64685,6.735274,7.2958,7.119286,7.499432,7.304839333333333,1.0884240000000007,1.657989333333333,0.6564722571596767,0.3435277428403233,0.33992904575639005,0.26080046942617496,0.4124826863264348,partial
scannetpp,5.014833,6.342475,7.204923,7.21356,7.420904,7.279795666666668,1.327642,2.2649626666666673,0.5861650699761348,0.4138349300238652,0.39379568876164894,0.39617696967381577,0.4482116280026649,partial
s3dis,5.876104,6.136451,6.173333,6.264225,6.091769,6.176442333333333,0.26034700000000033,0.3003383333333334,0.8668457239890578,0.1331542760109422,0.12408614233469895,0.3292117664336628,-0.20718243572206796,weak_highval
hm3d,5.34251,6.37281,7.064777,7.263275,7.376742,7.234931333333333,1.0303000000000004,1.892421333333333,0.544434784079092,0.45556521592090804,0.4017768441246333,0.4635991388847671,0.49351892999421876,partial
structured3d,4.912487,6.382244,6.745441,6.718561,7.034856,6.832952666666667,1.4697570000000004,1.9204656666666677,0.7653128225671654,0.23468717743283463,0.19814845326178376,0.1862144076045611,0.30749224098165784,weak
