source,region_size,threshold,class_id,class_name,counterpart_id,counterpart_name,target_points,valid_points,proposals,target_proposals,mean_target_purity,mean_counterpart_contam,counterpart_majority_point_frac,counterpart_dominates_point_frac,base_pred_target_majority_frac,base_pred_counterpart_majority_frac,scene_count,scene_mean_best_proposal_cover,candidate_recall,candidate_point_frac,candidate_region_count,candidate_mean_size
pred_cc,4,0.5,7,door,0,wall,21046,253130,261,34,0.8880668479907108,0.08187767245589832,0.059868858690487504,0.07127245082200893,0.8234818967974912,0.08120307896987551,4,0.8420423247781295,0.9212201843580728,0.08019199620748232,19,1068.3684210526317
pred_cc,4,0.7,7,door,0,wall,21046,253130,261,34,0.8880668479907108,0.08187767245589832,0.059868858690487504,0.07127245082200893,0.8234818967974912,0.08120307896987551,4,0.8420423247781295,0.9212201843580728,0.08019199620748232,19,1068.3684210526317
pred_cc,4,0.8,7,door,0,wall,21046,253130,261,34,0.8880668479907108,0.08187767245589832,0.059868858690487504,0.07127245082200893,0.8234818967974912,0.08120307896987551,4,0.8420423247781295,0.9187969210301244,0.07992731007782562,17,1190.1176470588234
pred_cc,4,0.9,7,door,0,wall,21046,253130,261,34,0.8880668479907108,0.08187767245589832,0.059868858690487504,0.07127245082200893,0.8234818967974912,0.08120307896987551,4,0.8420423247781295,0.9165637175710348,0.07971003041915221,15,1345.1333333333334
pred_cc,4,0.5,10,picture,0,wall,1694,85749,45,12,0.810879289611312,0.07277112868488046,0.02243211334120425,0.141086186540732,0.6889020070838253,0.023022432113341203,1,0.6818181818181818,0.858913813459268,0.01808767449183081,9,172.33333333333334
pred_cc,4,0.7,10,picture,0,wall,1694,85749,45,12,0.810879289611312,0.07277112868488046,0.02243211334120425,0.141086186540732,0.6889020070838253,0.023022432113341203,1,0.6818181818181818,0.858913813459268,0.01808767449183081,9,172.33333333333334
pred_cc,4,0.8,10,picture,0,wall,1694,85749,45,12,0.810879289611312,0.07277112868488046,0.02243211334120425,0.141086186540732,0.6889020070838253,0.023022432113341203,1,0.6818181818181818,0.858913813459268,0.01808767449183081,9,172.33333333333334
pred_cc,4,0.9,10,picture,0,wall,1694,85749,45,12,0.810879289611312,0.07277112868488046,0.02243211334120425,0.141086186540732,0.6889020070838253,0.023022432113341203,1,0.6818181818181818,0.8258559622195986,0.017294662328423655,8,185.375
pred_cc,4,0.5,12,desk,6,table,12922,117742,162,25,0.8627768243324128,4.4529752785937e-05,0.0,0.0028633338492493423,0.5114533353969973,0.0,2,0.6674777602526963,0.9344528710725893,0.11222843165565388,12,1101.1666666666667
pred_cc,4,0.7,12,desk,6,table,12922,117742,162,25,0.8627768243324128,4.4529752785937e-05,0.0,0.0028633338492493423,0.5114533353969973,0.0,2,0.6674777602526963,0.9343754836712583,0.11221144536359158,11,1201.090909090909
