region_size,target_expert_purity_point_weighted,points_in_regions_with_target_purity_ge_0p8,points
4,0.91349427019723,0.8085908063300679,115449
8,0.8770106280695372,0.7265459207095774,115449
16,0.8380323779331134,0.6650642274943914,115449
