variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,picture_to_wall
point_oracle_all,0.9003507429307813,0.9418330609500473,0.9686165016222767,0.8409695438315318,0.6394589715727853,0.2876514881268017
region_defer_oracle_s16::Concerto decoder,0.84140309451376,0.910122266435431,0.9457992510476421,0.7615141119386173,0.5148172982804996,0.3458171440691856
region_defer_oracle_s16::PTv3_supervised,0.8346479541381189,0.8984333299148799,0.9442347485110109,0.7510196341354837,0.5008260271856043,0.3801351703126657
region_defer_oracle_s16::Sonata linear,0.8338940297337143,0.9018289238169446,0.9438786274227061,0.7508511569679477,0.48481270295045276,0.388233819573664
region_defer_oracle_s16::Utonia,0.8425022442269258,0.9086950874032045,0.9458847279123963,0.7621065414289986,0.534839200640502,0.33799327040811405
region_defer_oracle_s4::Concerto decoder,0.8477661155496135,0.9129193228403661,0.9478304901522681,0.7686832312024825,0.5234634979819482,0.3409145688915456
region_defer_oracle_s4::PTv3_supervised,0.83829992884439,0.9006646624279803,0.9458370983193526,0.7564495615131526,0.508917426788286,0.3769680199766682
region_defer_oracle_s4::Sonata linear,0.8408898670264451,0.9055318220615527,0.9467072232604984,0.7600645633634897,0.4969570674181248,0.3831866256592204
region_defer_oracle_s4::Utonia,0.8495727855825999,0.9127043884585607,0.9486687598418931,0.7724984499347965,0.5481262565339765,0.33242544904117777
region_defer_oracle_s8::Concerto decoder,0.8451395895715557,0.9117086267669838,0.9469331363565853,0.7659270697159822,0.5200440810688105,0.343749096132895
region_defer_oracle_s8::PTv3_supervised,0.8368413715700083,0.8996936279392619,0.9451336908887905,0.7542147596045429,0.5056162774492821,0.3780719430009352
region_defer_oracle_s8::Sonata linear,0.8378496756846847,0.9038275454241586,0.9454248194604317,0.7557806630860933,0.4913968424393702,0.38555355231823835
region_defer_oracle_s8::Utonia,0.8463554035510054,0.9108582503119017,0.9473744834808921,0.7678745818799416,0.5420619051427655,0.33574685936309906
region_oracle_all_s16,0.8785062678547833,0.9301303271293755,0.9603882316277554,0.8112966067238497,0.5956818249248725,0.3127573008358963
region_oracle_all_s4,0.8889686395990607,0.9355511743360367,0.964152418711,0.8258959423056353,0.616611915235287,0.30233028991236105
region_oracle_all_s8,0.8842369379675764,0.9331595578332348,0.9624628919763617,0.8190621013310561,0.6066369752352944,0.30672187888662855
single::Concerto fullFT,0.7969183262741323,0.8778517139312345,0.9275823391364144,0.701354387358596,0.42957930493859403,0.4014953577385486
