variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,picture_to_wall
point_oracle_all,0.453849102177316,0.48057630442943555,0.9775312042546916,0.488459661122643,0.9864226682407918,0.005312868949232586
region_defer_oracle_s16::Concerto fullFT,0.4362232332278408,0.4727106355026624,0.964096700707671,0.46876384944700955,0.9425483503981261,0.017119244391971666
region_defer_oracle_s16::PTv3_supervised,0.42699821238670277,0.45978314491403316,0.965404637545582,0.4312167779910932,0.7304550758459317,0.03896103896103896
region_defer_oracle_s16::Sonata linear,0.40987214147586376,0.4508466775430506,0.9532520853363815,0.41309826058646737,0.7300291545189078,0.03896103896103896
region_defer_oracle_s16::Utonia,0.4138485886849822,0.45483378781447464,0.956179785013295,0.41425212010819923,0.7282169648008812,0.03305785123966942
region_defer_oracle_s4::Concerto fullFT,0.43802385706029645,0.4733911971871586,0.9657164635466734,0.4708375602227042,0.9484831139095049,0.01770956316410862
region_defer_oracle_s4::PTv3_supervised,0.42911276033648055,0.46129555724635896,0.9668511637173115,0.43380233315203603,0.7329446064139514,0.04073199527744982
region_defer_oracle_s4::Sonata linear,0.4127445595118286,0.45295382215646,0.9554435291773848,0.4161066995268055,0.7329446064139514,0.03600944510035419
region_defer_oracle_s4::Utonia,0.4171520780804058,0.45636305635845675,0.9590814991901178,0.41796292260600615,0.7325174825174399,0.03600944510035419
region_defer_oracle_s8::Concerto fullFT,0.43706512602173475,0.47273493883537976,0.9650581642110361,0.4696181404799989,0.9411092052600948,0.021251475796930343
region_defer_oracle_s8::PTv3_supervised,0.4283805176942339,0.460834555582081,0.9661582170482196,0.433231820537623,0.7318208260616211,0.03541912632821724
region_defer_oracle_s8::Sonata linear,0.41148167807481373,0.452269604388995,0.9544041091737469,0.4153697001825815,0.7318208260616211,0.03837072018890201
region_defer_oracle_s8::Utonia,0.4155914016928284,0.4558159487628384,0.9578428570191159,0.4163851389547531,0.7301218804410488,0.03541912632821724
region_oracle_all_s16,0.4460642616046203,0.47594599145896205,0.9717624232345009,0.4771905478511495,0.9546775130737388,0.02538370720188902
region_oracle_all_s4,0.4490989103589297,0.4777995669222766,0.9742137220764139,0.48183871369072107,0.9616502033700778,0.018890200708382526
region_oracle_all_s8,0.4475935404790132,0.476866553243868,0.973096345572503,0.4791987747159663,0.9518282066163115,0.027744982290436836
single::Concerto decoder,0.3883565249337486,0.44072225501440965,0.9379119784493578,0.38224407210894124,0.7170454545454138,0.03010625737898465
