method,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_decoder_origin_severity,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7864418955685705,0.0,0.8791048259025386,0.9273487539033658,0.6886982567196333,0.0,0.42155237149668107,0.0,0.8836920191557125,0.9665263745987075,0.41424722736601444,0.0,retained
concerto_decoder_origin_severity,random_keep0p8,random_drop,0.8,0,0.0,64,312,0.7997736684404887,0.7873851142553636,0.0009432186867931458,0.8786744499156193,0.9280841048422215,0.6875258585026216,-0.0011723982170116498,0.4158098544531978,-0.005742517043483275,0.8851762095396883,0.9666213126689107,0.4312856713727846,0.01703844400677018,retained
concerto_decoder_origin_severity,random_keep0p5,random_drop,0.5,0,0.0,64,312,0.5000313240557145,0.7834586892909915,-0.002983206277578976,0.8719218662640437,0.9270840272098817,0.6786525522653754,-0.010045704454257898,0.41358417690626215,-0.00796819459041892,0.8846650327402329,0.96532252694035,0.4583550547379396,0.044107827371925146,retained
concerto_decoder_origin_severity,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.19998948810956416,0.762855121597565,-0.023586773971005504,0.8422170087864931,0.9203880387148826,0.6410682436571384,-0.047630013062494814,0.3243069552770709,-0.09724541621961019,0.8753311444339488,0.9573136999166362,0.6144949884348496,0.20024776106883518,retained
concerto_decoder_origin_severity,random_keep0p1,random_drop,0.1,0,0.0,64,312,0.10004595351906923,0.7089985248663477,-0.07744337070222274,0.7922316874083503,0.902603715295838,0.572274274393355,-0.11642398232627826,0.15264912930714986,-0.2689032421895312,0.8521094326811908,0.9428526119071412,0.7591910533717271,0.34494382600571266,retained
concerto_decoder_origin_severity,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,312,0.19518424251761574,0.7512921762978807,-0.03514971927068977,0.8317198148624272,0.915503407154578,0.6363295394195984,-0.052368717300034895,0.30365539208251024,-0.11789697941417082,0.875437851070216,0.9525360495615806,0.5749644069652831,0.16071717959926862,retained
concerto_decoder_origin_severity,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,312,0.09759212125880787,0.6736282277776902,-0.11281366779088031,0.761846225728801,0.8817576799700663,0.5504501253639569,-0.13824813135567637,0.16787139928794725,-0.2536809722087338,0.8350038957979741,0.921164166144736,0.7374495741819812,0.32320234681596677,retained
concerto_decoder_origin_severity,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.5225944002562539,-0.26384749531231655,0.6252217085301423,0.8008834269235171,0.41328763655170947,-0.2754106201679238,0.08005220796171242,-0.34150016353496865,0.7537949884038081,0.8404062186396803,0.7854134338284194,0.371166206462405,retained
concerto_decoder_origin_severity,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,312,0.8044480728224302,0.7863188257103008,-0.00012306985826970873,0.8782419725425774,0.9267477565675567,0.6931116230298373,0.004413366310204059,0.42219688097146,0.0006445094747789537,0.884605993543519,0.9662315903246746,0.4239489767944397,0.009701749428425277,retained
concerto_decoder_origin_severity,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,312,0.48870000761384386,0.771990010182657,-0.014451885385913465,0.8678520680425139,0.9199573271468748,0.6642818179335154,-0.024416438786117878,0.40723213075792436,-0.014320240738756707,0.876151030854442,0.9652718819024592,0.4118934538796063,-0.0023537734864081394,retained
concerto_decoder_origin_severity,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.19843144782442743,0.7567820770560479,-0.02965981851252253,0.8594489920430048,0.9141182748938578,0.653412101273417,-0.03528615544621627,0.514427338082262,0.09287496658558098,0.8675371497878235,0.9643936949056665,0.35772739731391207,-0.05651983005210237,retained
concerto_decoder_origin_severity,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,312,0.10593473592593793,0.7207358561247392,-0.06570603944383124,0.832964493665124,0.900130670989917,0.6157684047063652,-0.07292985201326807,0.3705926481620382,-0.05095972333464288,0.8394131887686481,0.9640121832996744,0.46489817792068594,0.0506509505546715,retained
concerto_decoder_origin_severity,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,312,0.5105252435634898,0.7847183766921273,-0.0017235188764431753,0.8754030503206038,0.9294095627989545,0.6845780822380166,-0.004120174481616612,0.3925734884675123,-0.02897888302916879,0.8873319524181661,0.9749572662375814,0.4120688535238714,-0.002178373842143033,retained
concerto_decoder_origin_severity,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.2045822237443128,0.7797387637389067,-0.006703131829663755,0.865180797382151,0.9299605229096557,0.6890082910149035,0.00031003429527021176,0.3721825619635824,-0.04936980953309866,0.9074146504668201,0.979013949745775,0.4011943831710335,-0.013052844194980928,retained
