domain,model,task,metric,stress_type,severity,condition,clean_score,stress_score,raw_damage,null_score,B_down,observed_keep_frac,source
scene,Concerto-L,ScanNet20,mIoU,fixed_budget,16000,fixed_points_16000,0.7695830671504098,0.7263819304675306,0.04320113668287917,0.039116418545901095,0.05914183319034631,0.19518424251761574,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,fixed_budget,8000,fixed_points_8000,0.7695830671504098,0.6314302028527,0.1381528642977098,0.039116418545901095,0.18912959895107942,0.09759212125880787,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,fixed_budget,4000,fixed_points_4000,0.7695830671504098,0.46753407462046026,0.30204899252994954,0.039116418545901095,0.41350141461897977,0.048796060629403934,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,structured_keep,0.8,structured_b64_keep0p8,0.7695830671504098,0.6997513161301584,0.06983175102025141,0.039116418545901095,0.09559882186771802,0.8046464349787968,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,structured_keep,0.5,structured_b64_keep0p5,0.7695830671504098,0.5350229614053982,0.23456010574501163,0.039116418545901095,0.32110994553018646,0.5015896933917434,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,structured_keep,0.2,structured_b64_keep0p2,0.7695830671504098,0.3007941560101298,0.46878891114028,0.039116418545901095,0.6417663448918022,0.19931484213940656,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,structured_keep,0.1,structured_b64_keep0p1,0.7695830671504098,0.19664847901473897,0.5729345881356709,0.039116418545901095,0.7843405160662862,0.11081685497958041,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.7695830671504098,0.3760804649951898,0.39350260215522,0.039116418545901095,0.5387002991950031,0.504664049104427,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.7695830671504098,0.1961250959556552,0.5734579711947546,0.039116418545901095,0.7850570211388772,0.20309459201978247,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.7695830671504098,0.12491846925819869,0.6446645978922111,0.039116418545901095,0.882538031166495,0.09598953743578485,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,feature_zero,1.0,feature_zero1p0,0.7695830671504098,0.039116418545901095,0.7304666486045087,0.039116418545901095,1.0,1.0,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Sonata-L,ScanNet20,mIoU,clean,1.0,clean_voxel,0.7164145358211679,0.7164145358211679,0.0,0.060619779654097795,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,random_keep,0.8,random_keep0p8,0.7164145358211679,0.7172250143502741,-0.0008104785291062067,0.060619779654097795,-0.0012358722321038648,0.8000142885706364,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,random_keep,0.5,random_keep0p5,0.7164145358211679,0.7119355347321241,0.004479001089043755,0.060619779654097795,0.006829882439472703,0.5000109765201043,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,random_keep,0.2,random_keep0p2,0.7164145358211679,0.6866847971847391,0.029729738636428804,0.060619779654097795,0.04533390722760654,0.19997490780093732,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,random_keep,0.1,random_keep0p1,0.7164145358211679,0.6501672462104253,0.06624728961074255,0.060619779654097795,0.10101832774317795,0.09993798799144152,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,fixed_budget,16000,fixed_points_16000,0.7164145358211679,0.6484953786430545,0.06791915717811337,0.060619779654097795,0.10356770397964314,0.19518424251761574,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,fixed_budget,8000,fixed_points_8000,0.7164145358211679,0.5277707379903067,0.18864379783086116,0.060619779654097795,0.2876567646460447,0.09759212125880787,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,fixed_budget,4000,fixed_points_4000,0.7164145358211679,0.38447618206738365,0.3319383537537842,0.060619779654097795,0.5061619517878848,0.048796060629403934,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,structured_keep,0.8,structured_b64_keep0p8,0.7164145358211679,0.6482187297314563,0.06819580608971154,0.060619779654097795,0.10398955686729829,0.80235025468163,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,structured_keep,0.5,structured_b64_keep0p5,0.7164145358211679,0.4869728953509628,0.2294416404702051,0.060619779654097795,0.34986806209190335,0.49666026272834873,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,structured_keep,0.2,structured_b64_keep0p2,0.7164145358211679,0.27606802234845296,0.4403465134727149,0.060619779654097795,0.6714700130364146,0.19843829627345072,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,structured_keep,0.1,structured_b64_keep0p1,0.7164145358211679,0.16220776151194033,0.5542067743092276,0.060619779654097795,0.8450918051684422,0.10291061830680402,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.7164145358211679,0.34499960705642885,0.371414928764739,0.060619779654097795,0.5663584913907386,0.49692031660942887,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.7164145358211679,0.17885668631350166,0.5375578495076663,0.060619779654097795,0.8197044036300867,0.21956862996800167,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.7164145358211679,0.10870038548736469,0.6077141503338032,0.060619779654097795,0.9266834548749916,0.10234456504590579,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Sonata-L,ScanNet20,mIoU,feature_zero,1.0,feature_zero1p0,0.7164145358211679,0.060619779654097795,0.6557947561670701,0.060619779654097795,1.0,1.0,tools/concerto_projection_shortcut/results_support_severity_sonata_linear.csv
scene,Utonia,ScanNet20,mIoU,clean,1.0,clean,0.7580185294461793,0.7580185294461793,0.0,0.7477332733134819,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,random_keep,0.8,random_keep0p8,0.7580185294461793,0.7578621683216752,0.00015636112450412298,0.7477332733134819,0.015202453151073476,0.7999155860242971,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,random_keep,0.5,random_keep0p5,0.7580185294461793,0.7581014444109019,-8.29149647225691e-05,0.7477332733134819,-0.008061536208026753,0.4998962889644633,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
