method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall
ptv3_supervised_v151_compat,clean_voxel,clean,1.0,0.0,64,16,1.0,0.7401410166622753,0.0,0.8796814896984773,0.907221421886366,0.23971631205672625,0.0,0.8750764599556015,0.970535940470525,0.001968503937007874,0.0
ptv3_supervised_v151_compat,random_keep0p2,random_drop,0.2,0.0,64,16,0.2003447562456131,0.6864826440137374,-0.0536583726485379,0.7970284356003543,0.8827315742359007,0.0,-0.23971631205672625,0.8592980450824487,0.9640046445619909,1.0,0.9980314960629921
ptv3_supervised_v151_compat,structured_b64_keep0p2,structured_drop,0.2,0.0,64,16,0.17666564043611288,0.5767486965542978,-0.16339232010797744,0.6614668605135193,0.8530612906888103,0.0,-0.23971631205672625,0.8109411175024458,0.9604241901579246,nan,nan
ptv3_supervised_v151_compat,feature_zero1p0,feature_zero,1.0,1.0,64,16,1.0,0.026230308803215353,-0.71391070785906,0.060318521222259,0.35314178818385283,0.0,-0.23971631205672625,0.32125873428249824,0.20334744178180886,1.0,0.9980314960629921
