scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0251_00,8,Utonia,3415,7133,2771,190,0.050250183790922165
scene0251_00,8,PTv3_supervised,3105,6266,2870,198,0.08170843869447708
scene0251_00,16,Concerto decoder,2014,3284,1621,280,0.11556196212768555
scene0251_00,16,Sonata linear,3685,16570,2560,497,0.0859324187040329
scene0251_00,16,Utonia,3415,7133,2640,277,0.08256109058856964
scene0251_00,16,PTv3_supervised,3105,6266,2795,209,0.15565328299999237
scene0598_01,4,Concerto decoder,1520,2947,1476,12,0.05266103148460388
scene0598_01,4,Sonata linear,2088,3127,2038,11,0.0635329857468605
scene0598_01,4,Utonia,1675,2216,1632,37,0.056817956268787384
scene0598_01,4,PTv3_supervised,3005,633,2979,34,0.09047304838895798
scene0598_01,8,Concerto decoder,1520,2947,1458,13,0.07772248238325119
scene0598_01,8,Sonata linear,2088,3127,2021,18,0.09249155968427658
scene0598_01,8,Utonia,1675,2216,1610,55,0.08317844569683075
scene0598_01,8,PTv3_supervised,3005,633,2978,40,0.13462038338184357
scene0598_01,16,Concerto decoder,1520,2947,1434,24,0.1662369817495346
scene0598_01,16,Sonata linear,2088,3127,2024,41,0.18282471597194672
scene0598_01,16,Utonia,1675,2216,1600,69,0.17387133836746216
scene0598_01,16,PTv3_supervised,3005,633,2968,45,0.2265123873949051
scene0583_01,4,Concerto decoder,2346,3107,2179,87,0.07004926353693008
scene0583_01,4,Sonata linear,1611,6785,1351,112,0.043665532022714615
scene0583_01,4,Utonia,1562,7058,1313,88,0.039503149688243866
scene0583_01,4,PTv3_supervised,1390,9563,1291,43,0.04720883071422577
scene0583_01,8,Concerto decoder,2346,3107,2049,145,0.10844595730304718
scene0583_01,8,Sonata linear,1611,6785,1248,147,0.07255196571350098
scene0583_01,8,Utonia,1562,7058,1166,79,0.06018335744738579
scene0583_01,8,PTv3_supervised,1390,9563,1266,57,0.08993914723396301
scene0583_01,16,Concerto decoder,2346,3107,1996,273,0.1874522566795349
scene0583_01,16,Sonata linear,1611,6785,1167,250,0.14188992977142334
scene0583_01,16,Utonia,1562,7058,1036,261,0.10226823389530182
scene0583_01,16,PTv3_supervised,1390,9563,1241,115,0.16743065416812897
scene0338_00,4,Concerto decoder,1484,1134,1358,45,0.04800402745604515
scene0338_00,4,Sonata linear,733,2907,577,57,0.03059627301990986
scene0338_00,4,Utonia,2140,2268,1973,85,0.05191022530198097
scene0338_00,4,PTv3_supervised,792,460,693,67,0.044043391942977905
scene0338_00,8,Concerto decoder,1484,1134,1346,79,0.08420780301094055
scene0338_00,8,Sonata linear,733,2907,545,100,0.07059736549854279
scene0338_00,8,Utonia,2140,2268,1906,125,0.08473861217498779
scene0338_00,8,PTv3_supervised,792,460,680,110,0.09478311985731125
scene0338_00,16,Concerto decoder,1484,1134,1307,94,0.18070583045482635
scene0338_00,16,Sonata linear,733,2907,496,148,0.1404053121805191
scene0338_00,16,Utonia,2140,2268,1845,148,0.1385815143585205
scene0338_00,16,PTv3_supervised,792,460,667,140,0.24452519416809082
scene0046_00,4,Concerto decoder,1405,6004,1088,131,0.03240267559885979
scene0046_00,4,Sonata linear,1500,12479,1126,181,0.026029177010059357
scene0046_00,4,Utonia,1407,9722,1039,187,0.026063930243253708
scene0046_00,4,PTv3_supervised,3578,9443,3317,123,0.052329421043395996
scene0046_00,8,Concerto decoder,1405,6004,1030,178,0.06748820096254349
scene0046_00,8,Sonata linear,1500,12479,968,212,0.04467010125517845
scene0046_00,8,Utonia,1407,9722,898,188,0.04943111166357994
scene0046_00,8,PTv3_supervised,3578,9443,3213,143,0.09771540760993958
scene0046_00,16,Concerto decoder,1405,6004,961,215,0.1333778202533722
scene0046_00,16,Sonata linear,1500,12479,857,309,0.077635757625103
