method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.3446913067911483,0.0,0.45649928529340483,0.8360819875431215,0.3596299474823365,0.0,0.8065052735978049,0.48349658347752134,0.0
ptv3_scannet200_maskedmodel_full,retained,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.2000204390153671,0.26409907443562863,-0.08059223235551966,0.3380837580118597,0.8103711411550542,0.24305297109539686,-0.11657697638693965,0.7663031007463371,0.6442755309863253,0.16077894750880395
ptv3_scannet200_maskedmodel_full,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.06147140690508493,-0.28321989988606333,0.0793096253252079,0.5964125358548222,0.06793606017865378,-0.29169388730368273,0.5110654727357078,0.8775654635527247,0.39406888007520335
ptv3_scannet200_maskedmodel_full,retained,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20014020604773974,0.2568630534352586,-0.08782825335588967,0.33347809061820555,0.8092041788531014,0.23764749836545274,-0.12198244911688377,0.7643517644838649,0.6488227373630773,0.16532615388555594
ptv3_scannet200_maskedmodel_full,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20151010477494333,0.2625553838450305,-0.08213592294611777,0.3356003736068615,0.786126687132463,0.3065188071332225,-0.05311114034911402,0.7236389991357393,0.5154655119084441,0.031968928430922805
ptv3_scannet200_maskedmodel_full,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20350493374262757,0.23624254156969976,-0.10844876522144853,0.2815552323014231,0.8153814391822496,0.40278185914389136,0.043151911661554854,0.7733760643719526,0.2889948006932409,-0.19450178278428043
ptv3_scannet200_maskedmodel_full,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.0018554755342110795,-0.34283583125693723,0.0055785568406381495,0.2758031236253189,0.0,-0.3596299474823365,0.2563212406722549,1.0,0.5165034165224787
ptv3_scannet200_maskedmodel_full,full_nn,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.3446913067911483,0.0,0.45649928529340483,0.8360819875431215,0.3596299474823365,0.0,0.8065052735978049,0.48349658347752134,0.0
ptv3_scannet200_maskedmodel_full,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.2000204390153671,0.25506100440682683,-0.08963030238432146,0.3293414891607464,0.8025380609352791,0.2344787289589496,-0.1251512185233869,0.7532869580936403,0.6521745505733306,0.1686779670958093
ptv3_scannet200_maskedmodel_full,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.04191439355384825,-0.30277691323730005,0.055422942474521494,0.5453329619039309,0.015887877812563993,-0.3437420696697725,0.4616483793168495,0.9356212792163993,0.4521246957388779
ptv3_scannet200_maskedmodel_full,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20014020604773974,0.2487785789054154,-0.09591272788573288,0.32514860802962403,0.8015149974949839,0.22382927831969193,-0.13580066916264458,0.751655191122794,0.6631059561863984,0.1796093727088771
ptv3_scannet200_maskedmodel_full,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20151010477494333,0.08364674802355136,-0.2610445587675969,0.12902750878393246,0.49524853234909205,0.06417465614691639,-0.29545529133542014,0.39654210540532486,0.5938150678905539,0.1103184844130326
ptv3_scannet200_maskedmodel_full,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20350493374262757,0.04408156430711174,-0.30060974248403655,0.078622046850663,0.3212012389376226,0.0703222293505275,-0.289307718131809,0.28825579877282437,0.48974310097070295,0.006246517493181614
ptv3_scannet200_maskedmodel_full,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.0018554755342110795,-0.34283583125693723,0.0055785568406381495,0.2758031236253189,0.0,-0.3596299474823365,0.2563212406722549,1.0,0.5165034165224787
