[info] load_weight missing=0 unexpected=0
stress,batches,enc2d_loss_mean
clean,20,3.536469
local_surface_destroy,20,3.544549
z_flip,20,3.620394
xy_swap,20,3.537728
roll_90_x,20,3.601248
