target_id,target_name,pred_id,pred_name,count,fraction_of_target
13,picture,13,picture,18358,0.7017584097859327
13,picture,0,wall,6977,0.26670489296636085
13,picture,172,object,512,0.019571865443425075
13,picture,87,clock,252,0.00963302752293578
13,picture,83,wardrobe,21,0.0008027522935779817
13,picture,29,nightstand,17,0.0006498470948012232
13,picture,6,cabinet,12,0.00045871559633027525
13,picture,101,shower wall,11,0.0004204892966360856
30,counter,30,counter,28454,0.8126695798703338
30,counter,117,kitchen counter,2625,0.07497215320023991
30,counter,0,wall,1117,0.031902436237968755
30,counter,6,cabinet,503,0.014366092594179305
30,counter,7,shelf,459,0.01310941650244195
30,counter,126,paper cutter,402,0.01148144974723674
30,counter,12,sink,300,0.008568246080027419
30,counter,52,stove,294,0.00839688115842687
30,counter,151,dish rack,168,0.004798217804815355
30,counter,2,floor,157,0.004484048781881016
30,counter,178,trash bin,106,0.0030274469482763546
30,counter,25,kitchen cabinet,99,0.002827521206409048
30,counter,23,refrigerator,80,0.002284865621340645
30,counter,112,toaster,47,0.0013423585525376288
30,counter,43,printer,29,0.0008282637877359837
30,counter,172,object,29,0.0008282637877359837
30,counter,185,coffee kettle,19,0.0005426555850684032
30,counter,105,coffee maker,19,0.0005426555850684032
30,counter,19,book,18,0.0005140947648016451
30,counter,3,table,15,0.00042841230400137093
30,counter,51,microwave,15,0.00042841230400137093
30,counter,102,cup,14,0.00039985148373461286
30,counter,55,bottle,14,0.00039985148373461286
30,counter,106,dishwasher,8,0.0002284865621340645
30,counter,173,bathroom vanity,6,0.00017136492160054837
30,counter,107,paper towel roll,5,0.0001428041013337903
30,counter,18,curtain,4,0.00011424328106703225
30,counter,22,box,3,8.568246080027418e-05
30,counter,69,paper,2,5.7121640533516124e-05
30,counter,186,structure,2,5.7121640533516124e-05
8,desk,8,desk,189784,0.8472083960162671
8,desk,7,shelf,8381,0.03741334130913214
8,desk,16,bookshelf,7157,0.03194932391712907
8,desk,3,table,4475,0.019976697572887045
8,desk,31,dresser,3320,0.014820700769158658
8,desk,0,wall,3142,0.01402609693273991
8,desk,2,floor,1089,0.004861368414943909
8,desk,39,keyboard,883,0.003941770716616595
8,desk,172,object,854,0.003812312788211293
8,desk,69,paper,658,0.0029373557548513242
8,desk,85,telephone,382,0.0017052734017525926
8,desk,19,book,359,0.0016025998723276983
8,desk,1,chair,341,0.0015222466753864764
8,desk,67,laptop,341,0.0015222466753864764
8,desk,120,mini fridge,316,0.0014106450129681132
