expert,fold,pos_rate,pr_auc,recall_at_p80,recall_at_p90,recall_at_p95
Concerto decoder,0,0.020075871394230768,0.4589541256427765,0.0,0.0,0.0
Sonata linear,0,0.02161270532852564,0.37051916122436523,0.0,0.0,0.0
Utonia,0,0.0223388671875,0.4326721131801605,0.0012610340490937233,0.0,0.0
Concerto decoder,1,0.022532927684294872,0.48222389817237854,0.0,0.0,0.0
Sonata linear,1,0.021428034855769232,0.35556691884994507,0.0011685655917972326,0.00029214139794930816,0.00029214139794930816
Utonia,1,0.02369103064903846,0.4487400949001312,0.0007927070837467909,0.0,0.0
