method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,13,curtain,0.8000142885706364,0.7999809829117877,-0.002460989531566593,0.8813045456177943,0.8024419724433542,334124,328431,294465
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,14,refridgerator,0.8000142885706364,0.5545455680555379,0.003727946572420149,0.7410256196347673,0.5508176214831177,119869,129135,88826
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,15,shower curtain,0.8000142885706364,0.7178417607759343,0.006395428708702355,0.7856506569668166,0.711446332067232,80826,71136,63501
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,16,toilet,0.8000142885706364,0.9024052082705394,-0.006693455016773542,0.969151587738321,0.9090986632873129,61786,64450,59880
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,17,sink,0.8000142885706364,0.6579599293964626,0.008412876347614784,0.7900901738402886,0.6495470530488479,53785,53296,42495
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,18,bathtub,0.8000142885706364,0.8602466793168867,-0.0008837543659381275,0.9429403404166794,0.8611304336828248,57694,59948,54402
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,19,otherfurniture,0.8000142885706364,0.5292479443612111,-0.0016691719666652727,0.6067741305421831,0.5309171163278764,870370,655613,528118
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,0,wall,0.5000109765201043,0.8559434840504454,-0.002004426217549038,0.924295431085943,0.8579479102679944,3822834,3838703,3533428
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,1,floor,0.5000109765201043,0.9572886568009177,-0.002279130552052533,0.9864649861936492,0.9595677873529702,3486439,3545510,3439250
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,2,cabinet,0.5000109765201043,0.6318192445142111,0.00575465410987408,0.7561566410981023,0.626064590404337,500354,476812,378346
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,3,bed,0.5000109765201043,0.7833987127889005,0.004957246983811503,0.8399115154347302,0.778441465805089,329549,300565,276792
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,4,chair,0.5000109765201043,0.8738726946218377,0.0005033958131940297,0.931587146844057,0.8733692988086437,1046280,1043802,974701
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,5,sofa,0.5000109765201043,0.7946430244981347,0.008014476699068074,0.8761801754633725,0.7866285477990667,290317,284159,254370
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,6,table,0.5000109765201043,0.7070833673620751,-0.007224664461324082,0.8011807008664514,0.7143080318233992,529516,494705,424238
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,7,door,0.5000109765201043,0.6746912624777304,0.0009573911388022216,0.8183804459268175,0.6737338713389281,543273,560305,444604
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,8,window,0.5000109765201043,0.6631700173235673,0.004247205758457606,0.8185565517491038,0.6589228115651097,414355,436260,339173
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,9,bookshelf,0.5000109765201043,0.7596056468911196,0.00047429664911669,0.9203269450965065,0.759131350242003,365933,414204,336778
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,10,picture,0.5000109765201043,0.3301092447860439,-0.03904548719791412,0.40752685306111514,0.36915473198395804,75038,48178,30580
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,11,counter,0.5000109765201043,0.6463396012390377,0.0066421771397815466,0.7475495452309158,0.6396974240992561,79271,71672,59259
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,12,desk,0.5000109765201043,0.6058347725964304,-0.010088929995606288,0.9015120363231385,0.6159237025920367,233460,324407,210467
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,13,curtain,0.5000109765201043,0.7962731853757904,-0.006168787067563852,0.891628809343155,0.8024419724433542,208238,210608,185671
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,14,refridgerator,0.5000109765201043,0.566950204513542,0.016132583030424308,0.7421945761628207,0.5508176214831177,75076,78927,55721
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,15,shower curtain,0.5000109765201043,0.7317588048498832,0.020312472782651247,0.8033316166858123,0.711446332067232,50486,45495,40557
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,16,toilet,0.5000109765201043,0.9007305647921144,-0.008368098495198484,0.9662058371735766,0.9090986632873129,38409,39903,37111
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,17,sink,0.5000109765201043,0.6455229384865008,-0.004024114562347081,0.7838313878854799,0.6495470530488479,33497,33433,26256
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,18,bathtub,0.5000109765201043,0.8560454241816945,-0.005085009501130333,0.9287785025366534,0.8611304336828248,35874,36367,33319
sonata_linear_scannet_severity,retained,random_keep0p5,random_drop,19,otherfurniture,0.5000109765201043,0.5190296167219863,-0.011887499605890084,0.6042974519516398,0.5309171163278764,543671,417855,328539
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,0,wall,0.19997490780093732,0.8487793698067649,-0.009168540461229502,0.9219904637876811,0.8579479102679944,1530377,1542995,1410993
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,1,floor,0.19997490780093732,0.9453577975364479,-0.014209989816522328,0.9907534551555143,0.9595677873529702,1392412,1446400,1379537
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,2,cabinet,0.19997490780093732,0.6302966896471234,0.004232099242786336,0.7556882636615774,0.626064590404337,200105,191026,151217
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,3,bed,0.19997490780093732,0.7724011513840949,-0.006040314420994064,0.8194220777247724,0.778441465805089,131644,115886,107872
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,4,chair,0.19997490780093732,0.856396095613607,-0.0169732031950367,0.9144383621214907,0.8733692988086437,418517,411073,382708
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,5,sofa,0.19997490780093732,0.790760975533665,0.004132427734598321,0.8720884225012895,0.7866285477990667,116260,113346,101389
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,6,table,0.19997490780093732,0.6911470038436494,-0.023161027979749838,0.7741760930530196,0.7143080318233992,212524,190062,164531
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,7,door,0.19997490780093732,0.6558135102165291,-0.01792036112239903,0.7931662471068813,0.6737338713389281,216894,217459,172033
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,8,window,0.19997490780093732,0.6521050312637684,-0.006817780301341281,0.8409586846797832,0.6589228115651097,165435,187035,139124
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,9,bookshelf,0.19997490780093732,0.7641484875305874,0.005017137288584439,0.9021944772663624,0.759131350242003,146413,158543,132093
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,10,picture,0.19997490780093732,0.2294367050272555,-0.13971802695670255,0.2540065714477293,0.36915473198395804,29826,10770,7576
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,11,counter,0.19997490780093732,0.5958855968858116,-0.043811827213444565,0.6940054152761139,0.6396974240992561,31762,27273,22043
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,12,desk,0.19997490780093732,0.5895026098288204,-0.026421092763216247,0.8995277360509214,0.6159237025920367,92533,131900,83236
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,13,curtain,0.19997490780093732,0.7807838258815158,-0.0216581465618384,0.8916599016283834,0.8024419724433542,83764,86584,74689
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,14,refridgerator,0.19997490780093732,0.5161099346494512,-0.03470768683366654,0.7561634695579625,0.5508176214831177,29975,36608,22666
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,15,shower curtain,0.19997490780093732,0.7266044288098105,0.015158096742578508,0.7974558233925616,0.711446332067232,20203,18081,16111
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,16,toilet,0.19997490780093732,0.8842789454501223,-0.024819717837190614,0.9495140564868505,0.9090986632873129,15331,15688,14557
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,17,sink,0.19997490780093732,0.6283933601006735,-0.021153692948174374,0.777431791221821,0.6495470530488479,13488,13685,10486
sonata_linear_scannet_severity,retained,random_keep0p2,random_drop,18,bathtub,0.19997490780093732,0.8448355111957394,-0.016294922487085417,0.9025605050859284,0.8611304336828248,14255,13840,12866
