class_id,class_name,other_id,other_name,centroid_cosine,rank,class_within_cos_distance,other_within_cos_distance,class_count,other_count
10,picture,0,wall,0.5879939794540405,1,0.020104290917515755,0.15379957854747772,509,60000
10,picture,7,door,0.24361084401607513,2,0.020104290917515755,0.10154300183057785,509,60000
10,picture,14,refridgerator,0.2082565426826477,3,0.020104290917515755,0.14116832613945007,509,14128
10,picture,8,window,0.19924935698509216,4,0.020104290917515755,0.0864357128739357,509,40258
10,picture,19,otherfurniture,0.1921062022447586,5,0.020104290917515755,0.2675125002861023,509,17237
10,picture,17,sink,0.14610165357589722,6,0.020104290917515755,0.09028215706348419,509,1708
10,picture,16,toilet,0.12355269491672516,7,0.020104290917515755,0.0342567078769207,509,987
10,picture,15,shower curtain,0.1137443482875824,8,0.020104290917515755,0.04603143036365509,509,3254
10,picture,9,bookshelf,0.10346195846796036,9,0.020104290917515755,0.06375621259212494,509,57217
10,picture,2,cabinet,0.008722571656107903,10,0.020104290917515755,0.323966920375824,509,38563
10,picture,3,bed,0.0017966843442991376,11,0.020104290917515755,0.10535233467817307,509,8590
10,picture,1,floor,-0.010497286915779114,12,0.020104290917515755,0.07378159463405609,509,60000
10,picture,18,bathtub,-0.012503412552177906,13,0.020104290917515755,0.03324589878320694,509,2756
10,picture,13,curtain,-0.02051047421991825,14,0.020104290917515755,0.05093315988779068,509,13437
10,picture,4,chair,-0.07004068046808243,15,0.020104290917515755,0.05238543450832367,509,60000
10,picture,11,counter,-0.08119071274995804,16,0.020104290917515755,0.15601961314678192,509,9347
10,picture,5,sofa,-0.09185004234313965,17,0.020104290917515755,0.09067261219024658,509,32188
10,picture,12,desk,-0.17234447598457336,18,0.020104290917515755,0.1250249147415161,509,20446
10,picture,6,table,-0.2550227642059326,19,0.020104290917515755,0.13218346238136292,509,60000
11,counter,17,sink,0.46355047821998596,1,0.15601961314678192,0.09028215706348419,9347,1708
11,counter,2,cabinet,0.3294929265975952,2,0.15601961314678192,0.323966920375824,9347,38563
11,counter,5,sofa,0.06865821778774261,3,0.15601961314678192,0.09067261219024658,9347,32188
11,counter,14,refridgerator,0.0677371397614479,4,0.15601961314678192,0.14116832613945007,9347,14128
11,counter,3,bed,0.06662297248840332,5,0.15601961314678192,0.10535233467817307,9347,8590
11,counter,12,desk,0.043522994965314865,6,0.15601961314678192,0.1250249147415161,9347,20446
11,counter,6,table,0.033803921192884445,7,0.15601961314678192,0.13218346238136292,9347,60000
11,counter,18,bathtub,-0.011906578205525875,8,0.15601961314678192,0.03324589878320694,9347,2756
11,counter,9,bookshelf,-0.030675822868943214,9,0.15601961314678192,0.06375621259212494,9347,57217
11,counter,15,shower curtain,-0.038408342748880386,10,0.15601961314678192,0.04603143036365509,9347,3254
11,counter,8,window,-0.07396429777145386,11,0.15601961314678192,0.0864357128739357,9347,40258
11,counter,0,wall,-0.07536321878433228,12,0.15601961314678192,0.15379957854747772,9347,60000
11,counter,10,picture,-0.08119071274995804,13,0.15601961314678192,0.020104290917515755,9347,509
11,counter,13,curtain,-0.10900907218456268,14,0.15601961314678192,0.05093315988779068,9347,13437
11,counter,19,otherfurniture,-0.13588128983974457,15,0.15601961314678192,0.2675125002861023,9347,17237
11,counter,4,chair,-0.18853363394737244,16,0.15601961314678192,0.05238543450832367,9347,60000
11,counter,16,toilet,-0.25238052010536194,17,0.15601961314678192,0.0342567078769207,9347,987
11,counter,1,floor,-0.3187451660633087,18,0.15601961314678192,0.07378159463405609,9347,60000
11,counter,7,door,-0.34066176414489746,19,0.15601961314678192,0.10154300183057785,9347,60000
12,desk,6,table,0.4579535722732544,1,0.1250249147415161,0.13218346238136292,20446,60000
12,desk,2,cabinet,0.31260037422180176,2,0.1250249147415161,0.323966920375824,20446,38563
12,desk,4,chair,0.1886339634656906,3,0.1250249147415161,0.05238543450832367,20446,60000
12,desk,5,sofa,0.11144382506608963,4,0.1250249147415161,0.09067261219024658,20446,32188
12,desk,9,bookshelf,0.09026449173688889,5,0.1250249147415161,0.06375621259212494,20446,57217
12,desk,13,curtain,0.08928836137056351,6,0.1250249147415161,0.05093315988779068,20446,13437
12,desk,3,bed,0.08264631032943726,7,0.1250249147415161,0.10535233467817307,20446,8590
12,desk,19,otherfurniture,0.07365819066762924,8,0.1250249147415161,0.2675125002861023,20446,17237
12,desk,14,refridgerator,0.06101934239268303,9,0.1250249147415161,0.14116832613945007,20446,14128
12,desk,11,counter,0.043522994965314865,10,0.1250249147415161,0.15601961314678192,20446,9347
12,desk,17,sink,-0.026303546503186226,11,0.1250249147415161,0.09028215706348419,20446,1708
12,desk,16,toilet,-0.04495890066027641,12,0.1250249147415161,0.0342567078769207,20446,987
12,desk,1,floor,-0.06430530548095703,13,0.1250249147415161,0.07378159463405609,20446,60000
12,desk,7,door,-0.085514135658741,14,0.1250249147415161,0.10154300183057785,20446,60000
12,desk,8,window,-0.10207836329936981,15,0.1250249147415161,0.0864357128739357,20446,40258
12,desk,0,wall,-0.1229950487613678,16,0.1250249147415161,0.15379957854747772,20446,60000
12,desk,15,shower curtain,-0.14262579381465912,17,0.1250249147415161,0.04603143036365509,20446,3254
12,desk,10,picture,-0.17234447598457336,18,0.1250249147415161,0.020104290917515755,20446,509
12,desk,18,bathtub,-0.39027950167655945,19,0.1250249147415161,0.03324589878320694,20446,2756
17,sink,11,counter,0.46355047821998596,1,0.09028215706348419,0.15601961314678192,1708,9347
17,sink,2,cabinet,0.3264670670032501,2,0.09028215706348419,0.323966920375824,1708,38563
17,sink,16,toilet,0.17148496210575104,3,0.09028215706348419,0.0342567078769207,1708,987
17,sink,0,wall,0.16855983436107635,4,0.09028215706348419,0.15379957854747772,1708,60000
17,sink,19,otherfurniture,0.14853207767009735,5,0.09028215706348419,0.2675125002861023,1708,17237
17,sink,10,picture,0.14610165357589722,6,0.09028215706348419,0.020104290917515755,1708,509
17,sink,7,door,0.040263593196868896,7,0.09028215706348419,0.10154300183057785,1708,60000
17,sink,6,table,0.016129596158862114,8,0.09028215706348419,0.13218346238136292,1708,60000
