method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
sonata_linear_scannet_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7169693789962841,0.0,0.8265608990729378,0.8990755262500795,0.6128268696336724,0.0,0.3626784179488579,0.0,0.8577408268561604,0.9595306035667814,0.4642355678581458,0.0,retained
sonata_linear_scannet_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.499904125642318,0.7154375506404724,-0.0015318283558116708,0.8230260415369945,0.898620814142097,0.6079506009017054,-0.004876268731967004,0.33322546195915953,-0.02945295598969838,0.8560523721107353,0.9571760113269172,0.5389014496608592,0.07466588180271339,retained
sonata_linear_scannet_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.29992423741481244,0.7025981987879293,-0.014371180208354817,0.8107231547214256,0.893651892905273,0.5898050073478626,-0.023021862285809824,0.284922970399861,-0.07775544754899694,0.8514094949805355,0.9520128966923891,0.6190135651552059,0.1547779972970601,retained
sonata_linear_scannet_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.20008530873709765,0.6950708917034825,-0.02189848729280164,0.80358573113646,0.8909260259110182,0.5791978781937903,-0.03362899143988207,0.23645305334298744,-0.12622536460587047,0.8481622843622828,0.9454592900091573,0.6857775838340439,0.22154201597589807,retained
sonata_linear_scannet_fullscene,random_keep0p1,random_drop,0.1,0.0,64,312,0.09995612700302632,0.663181664619742,-0.05378771437654206,0.7714032261354711,0.8780772686433064,0.5363022295762975,-0.07652464005737492,0.09447079462023199,-0.2682076233286259,0.8298103153027678,0.9287015632694909,0.8417256488035052,0.3774900809453594,retained
sonata_linear_scannet_fullscene,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.20000963968535265,0.6954902853834838,-0.021479093612800315,0.8036481721337232,0.8911916333305046,0.578216374902248,-0.03461049473142441,0.2271251653240344,-0.1355532526248235,0.8479610839756377,0.945486404850406,0.6898340248962656,0.22559845703811976,retained
sonata_linear_scannet_fullscene,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.4959690055021873,0.6965738502404858,-0.02039552875579831,0.8116762568165165,0.8873091863213978,0.5872231176295021,-0.02560375200417031,0.3121655904059037,-0.05051282754295422,0.8432039994045167,0.9595247783502496,0.5780560179489035,0.1138204500907577,retained
sonata_linear_scannet_fullscene,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.195712287781181,0.6712247589091351,-0.04574462008714897,0.7928067538239107,0.8773442986086927,0.5933269405553524,-0.01949992907831999,0.31973351099267067,-0.042944906956187245,0.840130670629138,0.9544615870599975,0.573714429140652,0.10947886128250617,retained
sonata_linear_scannet_fullscene,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.06069021155093104,-0.6562791674453531,0.11041094570445013,0.46269300127809865,1.0227994757717334e-05,-0.6128166416389147,0.0,-0.3626784179488579,0.47092710784557246,0.6271620351658345,0.7461989007903077,0.2819633329321619,retained
sonata_linear_scannet_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7169693789962841,0.0,0.8265608990729378,0.8990755262500795,0.6128268696336724,0.0,0.3626784179488579,0.0,0.8577408268561604,0.9595306035667814,0.4642355678581458,0.0,full_nn
sonata_linear_scannet_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.499904125642318,0.712040241518056,-0.004929137478228096,0.8208591974647849,0.8967102445459143,0.6047315537932586,-0.008095315840413786,0.3290216826798233,-0.03365673526903462,0.8530867786139475,0.9527175019914927,0.5428852248565812,0.0786496569984354,full_nn
sonata_linear_scannet_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.29992423741481244,0.6969800145968841,-0.019989364399400023,0.8069478416294942,0.8906359491478805,0.5836915674100652,-0.029135302223607162,0.27960046366514596,-0.08307795428371195,0.8462485927157908,0.944851542114591,0.6244433746539897,0.1602078067958439,full_nn
sonata_linear_scannet_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.20008530873709765,0.6864641760464331,-0.03050520294985104,0.7973240322689998,0.8865337258263879,0.5691041285967929,-0.04372274103687945,0.2239388048652779,-0.13873961308358002,0.8408720930232558,0.9360061010664877,0.6971958117703695,0.2329602439122237,full_nn
sonata_linear_scannet_fullscene,random_keep0p1,random_drop,0.1,0.0,64,312,0.09995612700302632,0.6506554141741423,-0.0663139648221418,0.7613755670998061,0.8713563539124456,0.5212054781807656,-0.09162139145290682,0.08673509008076201,-0.2759433278680959,0.8177587863051818,0.9154944563370291,0.8497679891951164,0.38553242133697063,full_nn
sonata_linear_scannet_fullscene,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.20000963968535265,0.6874055331734975,-0.029563845822786594,0.7979183929441925,0.8870819042228438,0.5695658983328749,-0.043260971300797535,0.2177782330222272,-0.1449001849266307,0.8412791856452759,0.9362104184050023,0.7010136264559179,0.23677805859777212,full_nn
