variant,sample_mIoU,sample_allAcc,picture_iou,picture_to_wall
fold0_default::Concerto fullFT,0.811691682156088,0.9320819561298074,0.4370860927152095,0.40477815699658704
fold0_logit_defer_p80,0.8116952880863689,0.9320850861378202,0.4370860927152095,0.40477815699658704
fold0_logit_defer_p90,0.8116952880863689,0.9320850861378202,0.4370860927152095,0.40477815699658704
fold0_logit_defer_p95,0.8116952880863689,0.9320850861378202,0.4370860927152095,0.40477815699658704
fold0_feature_defer_p80,0.8123102031191746,0.9323010566907048,0.4379785604900236,0.40477815699658704
fold0_feature_defer_p90,0.8120358846016096,0.9322040264423074,0.437755102040794,0.40477815699658704
fold0_feature_defer_p95,0.8117500956154785,0.9321007361778842,0.43730886850150674,0.40477815699658704
fold1_default::Concerto fullFT,0.7926383551115276,0.9262538812099356,0.4951111111110891,0.319047619047619
fold1_logit_defer_p80,0.7931118144941125,0.9264260316506406,0.49754573850957173,0.319047619047619
fold1_logit_defer_p90,0.7926348794214697,0.9262538812099356,0.4951111111110891,0.319047619047619
fold1_logit_defer_p95,0.7926348794214697,0.9262538812099356,0.4951111111110891,0.319047619047619
fold1_feature_defer_p80,0.7938660194700008,0.9266326121794869,0.49420160570916616,0.32261904761904764
fold1_feature_defer_p90,0.7929413911777126,0.9263258713942304,0.4955516014234655,0.319047619047619
fold1_feature_defer_p95,0.79291617798219,0.9263258713942304,0.4955516014234655,0.319047619047619
