variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
cv_residual_kl0.03_safe2,0.8096791984763785,0.8833387612716844,0.9344587257665284,0.6957371500441694,0.3820628891679914,0.8916488897074842,0.6674758030904121,0.7643807842808236,0.7982713098579806,0.507187551219136
avgprob_all,0.8065075193287733,0.8833805313936386,0.9320455580819894,0.7109380464453174,0.42346740081820866,0.891347067591039,0.7232116776949947,0.7725017183711119,0.7889004078214344,0.4625726709152438
single::Concerto fullFT,0.7968611296450868,0.877154490577907,0.9276552188238395,0.6990742183627718,0.43486842571527773,0.8833870207870081,0.7049025636265897,0.776856957790581,0.7724012745765387,0.39829446303063026
