method,score_space,variant,keep,mIoU,delta_mIoU,focus_iou,delta_focus_iou,focus_to_confusion,source_csv
Sonata linear,full_nn,feature_zero1p0,1.0,0.06069021155093104,-0.6562791674453531,0.0,-0.3626784179488579,0.7461989007903077,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
PTv3 ScanNet20,retained,clean_voxel,1.0,0.7697225293154475,0.0,0.3916632252735906,0.0,0.46943920608808465,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,full_nn,clean_voxel,1.0,0.7697225293154475,0.0,0.3916632252735906,0.0,0.46943920608808465,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,retained,random_keep0p2,0.19995101259495968,0.7131148444513985,-0.05660768486404899,0.23964798517832256,-0.15201524009526804,0.730766648764769,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,full_nn,random_keep0p2,0.19995101259495968,0.6995138040310255,-0.07020872528442201,0.23013233921304221,-0.16153088606054838,0.7367625620243684,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,retained,classwise_keep0p2,0.19990058845052353,0.7108454198551404,-0.05887710946030711,0.2146722420366492,-0.1769909832369414,0.757559646441151,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,full_nn,classwise_keep0p2,0.19990058845052353,0.6976595571503277,-0.07206297216511981,0.20489744663038917,-0.18676577864320143,0.7660594631464912,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,retained,structured_b64_keep0p2,0.20697447429381263,0.6572771789626215,-0.11244535035282599,0.46124073069270954,0.06957750541911895,0.441250265787795,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,full_nn,structured_b64_keep0p2,0.20697447429381263,0.24907861938975878,-0.5206439099256888,0.08757278507294652,-0.3040904402006441,0.6981034920889674,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet20,retained,feature_zero1p0,1.0,0.02685186020820509,-0.7428706691072424,0.0,-0.3916632252735906,1.0,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
