region_size,target_expert_purity_point_weighted,points_in_regions_with_target_purity_ge_0p8,points
4,0.9104397546404295,0.8018895988952833,35881054
8,0.8723531644304541,0.7221889858642391,35881054
16,0.8304995722812379,0.6311484885588924,35881054
