dataset,train_rows,val_rows,coord_mean_shift_l2,coord_std_shift_l2,target_mean_cosine_train_val,shared_mlp_train_loss,shared_mlp_val_loss,train_target_mean_train_loss,train_target_mean_val_loss,clean_loss,mean_corruption_loss,closure_fraction_mean
arkit,49513,15239,0.16260822117328644,0.08164915442466736,0.9648326635360718,6.614874362945557,6.6959710121154785,6.434599876403809,6.508246421813965,5.834015,6.849298,0.15101897697489264
scannet,101996,25986,0.10907135158777237,0.03328494355082512,0.9750242233276367,6.556740760803223,6.735274314880371,6.493502616882324,6.642395496368408,5.64685,7.304839333333333,0.3435277428403233
scannetpp,108970,28452,0.12373584508895874,0.020492156967520714,0.9371222257614136,6.290182590484619,6.342474937438965,6.329957962036133,6.3672685623168945,5.014833,7.279795666666668,0.4138349300238652
s3dis,61527,449,0.44893863797187805,0.15000246465206146,0.8536450862884521,6.2853312492370605,6.39555025100708,6.096485137939453,6.209538459777832,5.876104,6.176442333333333,-0.7295394638269075
hm3d,108345,26830,0.04372940585017204,0.015077590942382812,0.9946199655532837,6.377902984619141,6.372809886932373,6.2236809730529785,6.2275776863098145,5.34251,7.234931333333333,0.45556521592090804
structured3d,104971,26343,0.14010435342788696,0.039383385330438614,0.9804858565330505,6.511523723602295,6.382243633270264,6.28139066696167,6.139918804168701,4.912487,6.832952666666667,0.23468717743283463
