model,pair,positive_class,negative_class,point_feature_bal_acc,point_feature_auc,linear_logits_bal_acc,linear_logits_auc,direct_pair_margin_bal_acc,direct_pair_margin_auc,base_positive_iou,base_positive_to_negative,top2_hit_rate,top5_hit_rate,oracle_top2_positive_iou,oracle_top5_positive_iou
PTv3 supervised ScanNet200,picture_vs_wall,picture,wall,0.9097450077533722,0.9603750705718994,0.9093804955482483,0.9536750316619873,0.8613453209400177,0.9697278738021851,0.46241813602015,0.26670489296636085,0.8461391437308868,0.9167813455657492,0.7505170718475546,0.8388304011751921
PTv3 supervised ScanNet200,door_vs_wall,door,wall,0.8973333537578583,0.9288303852081299,0.8898166716098785,0.926925003528595,0.8930999934673309,0.9815484881401062,0.6890324525779711,0.10500796593385658,0.9334608999307037,0.986789739123517,0.8670851613304705,0.9593015919535315
PTv3 supervised ScanNet200,counter_vs_cabinet,counter,cabinet,0.9574925303459167,0.9920046329498291,0.9649105370044708,0.9932753443717957,0.9728664457798004,0.9956454634666443,0.4430568963906443,0.014366092594179305,0.9474480907091651,0.9864050495530232,0.623669862756156,0.8111847049981191
