method,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_decoder_origin_maskedmodel_smoke,clean_voxel,clean,1.0,0,0.0,64,2,1.0,0.3876561543035699,0.0,0.43584408587228707,0.937062937062936,0.38010472906234544,0.0,0.64057403783427,0.0,0.9555115427208429,0.950596972830681,0.024456521739130436,0.0,retained
concerto_decoder_origin_maskedmodel_smoke,random_keep0p2,random_drop,0.2,0,0.0,64,2,0.19993674755096436,0.3725983584266143,-0.015057795876955604,0.4169547530138236,0.9291070946857247,0.36861679924882523,-0.011487929813520203,0.8344370860924389,0.1938630482581689,0.9512684989429074,0.920515097690921,0.03663003663003663,0.012173514890906196,retained
concerto_decoder_origin_maskedmodel_smoke,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,2,0.06363196298480034,0.2102817175921749,-0.17737443671139502,0.259357607690238,0.8087378640776542,0.13893557422965186,-0.24116915483269358,0.0,-0.64057403783427,0.8402097902097608,0.74257425742569,0.9454545454545454,0.920998023715415,retained
concerto_decoder_origin_maskedmodel_smoke,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,2,0.20088111609220505,0.3668123055457261,-0.02084384875784384,0.41143021874457586,0.9267225074304193,0.36816987162526477,-0.01193485743708067,0.76973684210501,0.12916280427074,0.9485493633896791,0.9272727272727065,0.03484320557491289,0.010386683835782454,retained
concerto_decoder_origin_maskedmodel_smoke,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,2,0.18105100095272064,0.17257408564579263,-0.2150820686577773,0.18865668750825773,0.9491262359162972,0.022430313588846753,-0.3576744154734987,0.0,-0.64057403783427,0.9643280799864348,0.9805121232721282,nan,nan,retained
concerto_decoder_origin_maskedmodel_smoke,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,2,0.1320224912875289,0.12249044605745155,-0.2651657082461184,0.14828492593586245,0.9703291608715734,0.1382653061223996,-0.24183942293994584,0.0,-0.64057403783427,0.9690430003233028,0.0,nan,nan,retained
concerto_decoder_origin_maskedmodel_smoke,feature_zero1p0,feature_zero,1.0,0,1.0,64,2,1.0,0.07204350808177754,-0.3156126462217924,0.09558030869092787,0.6999630803978623,0.00015133171912832128,-0.3799533973432171,0.0,-0.64057403783427,0.688959676323615,0.729042557333642,0.9993206521739131,0.9748641304347826,retained
concerto_decoder_origin_maskedmodel_smoke,clean_voxel,clean,1.0,0,0.0,64,2,1.0,0.3876561543035699,0.0,0.43584408587228707,0.937062937062936,0.38010472906234544,0.0,0.64057403783427,0.0,0.9555115427208429,0.950596972830681,0.024456521739130436,0.0,full_nn
concerto_decoder_origin_maskedmodel_smoke,random_keep0p2,random_drop,0.2,0,0.0,64,2,0.19993674755096436,0.3627594142470266,-0.0248967400565433,0.4101108174909883,0.9175064066368404,0.35818474929015676,-0.02191997977218868,0.8280175109442884,0.1874434731100184,0.9377472851250085,0.8968584070796422,0.05366847826086957,0.029211956521739132,full_nn
concerto_decoder_origin_maskedmodel_smoke,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,2,0.06363196298480034,0.20817170522667228,-0.17948444907689765,0.25890174991650367,0.8156734569778039,0.13985740783868936,-0.24024732122365608,0.0,-0.64057403783427,0.8258410700843467,0.7478643541289126,0.9490489130434783,0.9245923913043478,full_nn
concerto_decoder_origin_maskedmodel_smoke,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,2,0.20088111609220505,0.3573825530413546,-0.030273601262215344,0.4057164815381835,0.9165291230508612,0.35145947125976956,-0.028645257802575874,0.7697659709044421,0.12919193307017207,0.936395538288004,0.9041267567809467,0.04823369565217391,0.023777173913043476,full_nn
concerto_decoder_origin_maskedmodel_smoke,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,2,0.18105100095272064,0.0849712343620429,-0.302684919941527,0.11473450637412468,0.652586543890891,0.019983037481214546,-0.3601216915811309,0.0,-0.64057403783427,0.6597499052671456,0.5565121141311009,1.0,0.9755434782608695,full_nn
concerto_decoder_origin_maskedmodel_smoke,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,2,0.1320224912875289,0.07684923339433293,-0.310806920909237,0.1311996958728271,0.47697954219693295,0.0320493393502357,-0.34805538971210975,0.0,-0.64057403783427,0.5913655694935839,0.24906418692619786,0.005434782608695652,-0.019021739130434784,full_nn
concerto_decoder_origin_maskedmodel_smoke,feature_zero1p0,feature_zero,1.0,0,1.0,64,2,1.0,0.07204350808177754,-0.3156126462217924,0.09558030869092787,0.6999630803978623,0.00015133171912832128,-0.3799533973432171,0.0,-0.64057403783427,0.688959676323615,0.729042557333642,0.9993206521739131,0.9748641304347826,full_nn
