source,region_size,threshold,class_id,class_name,counterpart_id,counterpart_name,target_points,valid_points,proposals,target_proposals,mean_target_purity,mean_counterpart_contam,counterpart_majority_point_frac,counterpart_dominates_point_frac,base_pred_target_majority_frac,base_pred_counterpart_majority_frac,scene_count,scene_mean_best_proposal_cover,candidate_recall,candidate_point_frac,candidate_region_count,candidate_mean_size
pred_cc,4,0.5,7,door,0,wall,1600191,26006346,12392,1486,0.8651346874601976,0.10266407171613762,0.05499530993487652,0.06154202842035732,0.902301037813611,0.07148209182528836,219,0.7393580311352633,0.9280348408408746,0.06233970739295709,849,1909.5736160188458
pred_cc,4,0.7,7,door,0,wall,1600191,26006346,12392,1486,0.8651346874601976,0.10266407171613762,0.05499530993487652,0.06154202842035732,0.902301037813611,0.07148209182528836,219,0.7393580311352633,0.9070798423438202,0.060252755231357764,811,1932.125770653514
pred_cc,4,0.8,7,door,0,wall,1600191,26006346,12392,1486,0.8651346874601976,0.10266407171613762,0.05499530993487652,0.06154202842035732,0.902301037813611,0.07148209182528836,219,0.7393580311352633,0.8531181590197671,0.05590397051550418,770,1888.1272727272728
pred_cc,4,0.9,7,door,0,wall,1600191,26006346,12392,1486,0.8651346874601976,0.10266407171613762,0.05499530993487652,0.06154202842035732,0.902301037813611,0.07148209182528836,219,0.7393580311352633,0.6908762766444756,0.044297034270020096,669,1721.9790732436472
pred_cc,4,0.5,10,picture,0,wall,207442,11815899,5649,409,0.5726183725250895,0.3964920965061509,0.43157605499368495,0.43636775580644227,0.5266435919437722,0.4501788451711804,90,0.7094674478312741,0.5603156544961966,0.011073046579020352,247,529.7085020242915
pred_cc,4,0.7,10,picture,0,wall,207442,11815899,5649,409,0.5726183725250895,0.3964920965061509,0.43157605499368495,0.43636775580644227,0.5266435919437722,0.4501788451711804,90,0.7094674478312741,0.5404932463049913,0.010501443859667385,230,539.4956521739131
pred_cc,4,0.8,10,picture,0,wall,207442,11815899,5649,409,0.5726183725250895,0.3964920965061509,0.43157605499368495,0.43636775580644227,0.5266435919437722,0.4501788451711804,90,0.7094674478312741,0.5063053769246344,0.009696426822876532,215,532.893023255814
pred_cc,4,0.9,10,picture,0,wall,207442,11815899,5649,409,0.5726183725250895,0.3964920965061509,0.43157605499368495,0.43636775580644227,0.5266435919437722,0.4501788451711804,90,0.7094674478312741,0.31879754340972416,0.0058703108413502856,148,468.6689189189189
pred_cc,4,0.5,11,counter,2,cabinet,221560,5035488,2466,507,0.8213268756386922,0.06116095945107246,0.038829211048925796,0.05343473551182524,0.8024011554432208,0.09472377685502799,47,0.6806696355640703,0.8720572305470301,0.041674808876518026,269,780.1226765799256
pred_cc,4,0.7,11,counter,2,cabinet,221560,5035488,2466,507,0.8213268756386922,0.06116095945107246,0.038829211048925796,0.05343473551182524,0.8024011554432208,0.09472377685502799,47,0.6806696355640703,0.8587380393572847,0.040707673218563924,255,803.8549019607843
pred_cc,4,0.8,11,counter,2,cabinet,221560,5035488,2466,507,0.8213268756386922,0.06116095945107246,0.038829211048925796,0.05343473551182524,0.8024011554432208,0.09472377685502799,47,0.6806696355640703,0.8406029969308539,0.03964521412820366,247,808.2307692307693
pred_cc,4,0.9,11,counter,2,cabinet,221560,5035488,2466,507,0.8213268756386922,0.06116095945107246,0.038829211048925796,0.05343473551182524,0.8024011554432208,0.09472377685502799,47,0.6806696355640703,0.6670834085575014,0.030899487795423203,219,710.4748858447489
