target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
15,shower curtain,19,otherfurniture,3273,0.020687955097087377
7,door,0,wall,1544747,0.9653516361484348
7,door,1,floor,73497,0.04593014208928809
7,door,2,cabinet,196116,0.12255786965431002
7,door,3,bed,3740,0.002337220994243812
7,door,4,chair,16178,0.010110043113603313
7,door,5,sofa,2677,0.001672925294542964
7,door,6,table,17756,0.011096175394062335
7,door,7,door,1581737,0.9884676266770654
7,door,8,window,385343,0.2408106282312549
7,door,9,bookshelf,72163,0.045096491606314494
7,door,10,picture,14662,0.00916265620791518
7,door,11,counter,193,0.0001206106021093732
7,door,12,desk,5024,0.0031396252072408855
7,door,13,curtain,281769,0.17608460490029001
7,door,14,refridgerator,4469,0.0027927916105014963
7,door,15,shower curtain,8863,0.005538713816038211
7,door,16,toilet,307,0.00019185209765584232
7,door,17,sink,5,3.1246269976521553e-06
7,door,18,bathtub,2134,0.0013335908025979399
7,door,19,otherfurniture,589193,0.36820167092553324
