method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_decoder_origin_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7863010825422089,0.0,0.8789564560613252,0.9273597778578677,0.6883919746946882,0.0,0.42020371795391015,0.0,0.8833790733824449,0.9666675358337626,0.4177034100556867,0.0,retained
concerto_decoder_origin_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.4999821051382102,0.784275239830716,-0.0020258427114928645,0.8726152164138231,0.9273109776951697,0.6809586273061099,-0.00743334738857826,0.4150245526776113,-0.005179165276298858,0.8857020910618031,0.9653661118546812,0.45218633971739186,0.034482929661705186,retained
concerto_decoder_origin_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.30004923122051436,0.7764042735379771,-0.009896809004231732,0.8589960065686372,0.9246325421985131,0.664747515373836,-0.02364445932085213,0.38551005573055414,-0.034693662223356014,0.880976568205314,0.962399881616934,0.5150018989745537,0.09729848891886705,retained
concerto_decoder_origin_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.19988918743836573,0.7632239408757372,-0.02307714166647168,0.8415670820105399,0.9202777098152098,0.6389043832615494,-0.049487591433138745,0.3091157332093879,-0.11108798474452225,0.8755304496442038,0.9571935700444554,0.6323231652670362,0.21461975521134957,retained
concerto_decoder_origin_fullscene,random_keep0p1,random_drop,0.1,0.0,64,312,0.10012087278450146,0.7103339445661636,-0.07596713797604526,0.7941903154500287,0.9028668872166254,0.5729484513070939,-0.11544352338759423,0.17305208781747633,-0.24715163013643382,0.8540089489436097,0.9420578152114105,0.733645172068159,0.31594176201247237,retained
concerto_decoder_origin_fullscene,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.19987397774671897,0.7614887759255987,-0.024812306616610158,0.84053308744877,0.9202465636219389,0.6363494846814118,-0.05204249001327632,0.3152275107645749,-0.10497620718933526,0.8751876569370262,0.9573063974000436,0.620294929634368,0.20259151957868138,retained
concerto_decoder_origin_fullscene,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.5013246731355022,0.7696735768598977,-0.016627505682311194,0.8657878007129408,0.9201528016309917,0.6706866979939018,-0.017705276700786365,0.45482400831839953,0.03462029036448938,0.8749005605025466,0.964245318534485,0.4163263611068813,-0.0013770489488053594,retained
concerto_decoder_origin_fullscene,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.20867774735401887,0.7388350330222562,-0.0474660495199527,0.8475191291971129,0.9101464465265741,0.6434167510174328,-0.04497522367725537,0.4380487188664538,0.01784500091254365,0.867818012933734,0.9689528158962459,0.41553429720621804,-0.002169112849468635,retained
concerto_decoder_origin_fullscene,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.06828169218615016,-0.7180193903560588,0.11118382797162785,0.5080390613354717,0.001428522987382081,-0.6869634517073061,0.0,-0.42020371795391015,0.5127740036200185,0.6501743536511455,0.9798712454959322,0.5621678354402455,retained
concerto_decoder_origin_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7863010825422089,0.0,0.8789564560613252,0.9273597778578677,0.6883919746946882,0.0,0.42020371795391015,0.0,0.8833790733824449,0.9666675358337626,0.4177034100556867,0.0,full_nn
concerto_decoder_origin_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.4999821051382102,0.7800104087998028,-0.0062906737424061054,0.870068289101332,0.9251542389034252,0.6763021378866491,-0.0120898368080391,0.4104784437434278,-0.00972527421048236,0.8820425183344783,0.9603738584434889,0.4550662824978106,0.03736287244212394,full_nn
concerto_decoder_origin_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.30004923122051436,0.768711297011063,-0.017589785531145874,0.8537871841404211,0.9206980808948805,0.6562111627418681,-0.032180811952820076,0.37488751374831947,-0.04531620420559068,0.8742021446400906,0.9537277172194782,0.5242835273118653,0.10658011725617866,full_nn
concerto_decoder_origin_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.19988918743836573,0.7527138055426545,-0.03358727699955433,0.8339372655725784,0.9148938901070796,0.6275119365208769,-0.06088003817381127,0.29479880174482753,-0.12540491620908262,0.8662212858287254,0.9455316000673286,0.6478169894442699,0.23011357938858323,full_nn
concerto_decoder_origin_fullscene,random_keep0p1,random_drop,0.1,0.0,64,312,0.10012087278450146,0.6916172613857378,-0.09468382115647112,0.7796238981755208,0.8932514264012844,0.5538528403679048,-0.13453913432678333,0.1502277391877815,-0.26997597876612867,0.8376352270648361,0.9233038116955399,0.7596983695107196,0.3419949594550329,full_nn
concerto_decoder_origin_fullscene,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.19987397774671897,0.7505540496163932,-0.035747032925815714,0.8328554751640269,0.9147618782519189,0.6239339586359046,-0.06445801605878354,0.29875535463432384,-0.1214483633195863,0.8655989594546496,0.9453205405233749,0.6393603722248591,0.2216569621691724,full_nn
concerto_decoder_origin_fullscene,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.5013246731355022,0.5386457948410789,-0.24765528770113,0.680266775948225,0.805366610662353,0.42364981208821556,-0.2647421626064726,0.25947161758839604,-0.1607321003655141,0.7249760022783177,0.8277345508367923,0.5801038860328772,0.16240047597719054,full_nn
concerto_decoder_origin_fullscene,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.20867774735401887,0.3011714538834566,-0.48512962865875225,0.4491578402371396,0.6103502570195621,0.22057614676923643,-0.46781582792545173,0.13869640579013284,-0.28150731216377733,0.5037335506461883,0.617963658954083,0.6178076971929379,0.20010428713725126,full_nn
concerto_decoder_origin_fullscene,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.06828169218615016,-0.7180193903560588,0.11118382797162785,0.5080390613354717,0.001428522987382081,-0.6869634517073061,0.0,-0.42020371795391015,0.5127740036200185,0.6501743536511455,0.9798712454959322,0.5621678354402455,full_nn
