class_id,class_name,other_id,other_name,centroid_cosine,rank,class_within_cos_distance,other_within_cos_distance,class_count,other_count
10,picture,0,wall,0.9207660555839539,1,0.330432653427124,0.34198588132858276,60000,60000
10,picture,13,curtain,0.8179857730865479,2,0.330432653427124,0.28075599670410156,60000,60000
10,picture,19,otherfurniture,0.7981059551239014,3,0.330432653427124,0.38099971413612366,60000,60000
10,picture,2,cabinet,0.7852795124053955,4,0.330432653427124,0.36393454670906067,60000,60000
10,picture,7,door,0.7738311886787415,5,0.330432653427124,0.3749851584434509,60000,60000
10,picture,8,window,0.7482271790504456,6,0.330432653427124,0.2803283631801605,60000,60000
10,picture,9,bookshelf,0.7462404370307922,7,0.330432653427124,0.3063805401325226,60000,60000
10,picture,3,bed,0.7418082356452942,8,0.330432653427124,0.34343215823173523,60000,60000
10,picture,12,desk,0.7228139638900757,9,0.330432653427124,0.28682681918144226,60000,60000
10,picture,5,sofa,0.7092121839523315,10,0.330432653427124,0.3074750006198883,60000,60000
10,picture,14,refridgerator,0.7056370377540588,11,0.330432653427124,0.3131377696990967,60000,60000
10,picture,6,table,0.6867552995681763,12,0.330432653427124,0.26624244451522827,60000,60000
10,picture,11,counter,0.667362630367279,13,0.330432653427124,0.2693973779678345,60000,60000
10,picture,4,chair,0.6552321910858154,14,0.330432653427124,0.23691114783287048,60000,60000
10,picture,1,floor,0.6321645975112915,15,0.330432653427124,0.2682570815086365,60000,60000
10,picture,17,sink,0.6221123933792114,16,0.330432653427124,0.26289528608322144,60000,60000
10,picture,15,shower curtain,0.6100420355796814,17,0.330432653427124,0.2831289768218994,60000,60000
10,picture,18,bathtub,0.5573468208312988,18,0.330432653427124,0.29344314336776733,60000,60000
10,picture,16,toilet,0.5533207654953003,19,0.330432653427124,0.2556133270263672,60000,60000
11,counter,17,sink,0.8437370657920837,1,0.2693973779678345,0.26289528608322144,60000,60000
11,counter,2,cabinet,0.7944474816322327,2,0.2693973779678345,0.36393454670906067,60000,60000
11,counter,12,desk,0.7626327872276306,3,0.2693973779678345,0.28682681918144226,60000,60000
11,counter,6,table,0.7583005428314209,4,0.2693973779678345,0.26624244451522827,60000,60000
11,counter,3,bed,0.7496148943901062,5,0.2693973779678345,0.34343215823173523,60000,60000
11,counter,14,refridgerator,0.729028582572937,6,0.2693973779678345,0.3131377696990967,60000,60000
11,counter,5,sofa,0.7269310355186462,7,0.2693973779678345,0.3074750006198883,60000,60000
11,counter,9,bookshelf,0.7098000049591064,8,0.2693973779678345,0.3063805401325226,60000,60000
11,counter,19,otherfurniture,0.7014914751052856,9,0.2693973779678345,0.38099971413612366,60000,60000
11,counter,0,wall,0.6774041652679443,10,0.2693973779678345,0.34198588132858276,60000,60000
11,counter,10,picture,0.667362630367279,11,0.2693973779678345,0.330432653427124,60000,60000
11,counter,4,chair,0.6533983945846558,12,0.2693973779678345,0.23691114783287048,60000,60000
11,counter,7,door,0.6474403142929077,13,0.2693973779678345,0.3749851584434509,60000,60000
11,counter,16,toilet,0.6147902607917786,14,0.2693973779678345,0.2556133270263672,60000,60000
11,counter,1,floor,0.604733943939209,15,0.2693973779678345,0.2682570815086365,60000,60000
11,counter,13,curtain,0.6000332832336426,16,0.2693973779678345,0.28075599670410156,60000,60000
11,counter,8,window,0.5730976462364197,17,0.2693973779678345,0.2803283631801605,60000,60000
11,counter,18,bathtub,0.5659279823303223,18,0.2693973779678345,0.29344314336776733,60000,60000
11,counter,15,shower curtain,0.5626828074455261,19,0.2693973779678345,0.2831289768218994,60000,60000
12,desk,6,table,0.9511334300041199,1,0.28682681918144226,0.26624244451522827,60000,60000
12,desk,2,cabinet,0.831393837928772,2,0.28682681918144226,0.36393454670906067,60000,60000
12,desk,3,bed,0.8094969987869263,3,0.28682681918144226,0.34343215823173523,60000,60000
12,desk,9,bookshelf,0.8088932037353516,4,0.28682681918144226,0.3063805401325226,60000,60000
12,desk,19,otherfurniture,0.8036798238754272,5,0.28682681918144226,0.38099971413612366,60000,60000
12,desk,4,chair,0.7805528044700623,6,0.28682681918144226,0.23691114783287048,60000,60000
12,desk,5,sofa,0.7717291712760925,7,0.28682681918144226,0.3074750006198883,60000,60000
12,desk,0,wall,0.7630857229232788,8,0.28682681918144226,0.34198588132858276,60000,60000
12,desk,11,counter,0.7626327872276306,9,0.28682681918144226,0.2693973779678345,60000,60000
12,desk,7,door,0.737237274646759,10,0.28682681918144226,0.3749851584434509,60000,60000
12,desk,14,refridgerator,0.7256974577903748,11,0.28682681918144226,0.3131377696990967,60000,60000
12,desk,10,picture,0.7228139638900757,12,0.28682681918144226,0.330432653427124,60000,60000
12,desk,1,floor,0.7068285346031189,13,0.28682681918144226,0.2682570815086365,60000,60000
12,desk,17,sink,0.7038508057594299,14,0.28682681918144226,0.26289528608322144,60000,60000
12,desk,13,curtain,0.649695098400116,15,0.28682681918144226,0.28075599670410156,60000,60000
12,desk,8,window,0.6395781636238098,16,0.28682681918144226,0.2803283631801605,60000,60000
12,desk,16,toilet,0.6358028650283813,17,0.28682681918144226,0.2556133270263672,60000,60000
12,desk,18,bathtub,0.6042604446411133,18,0.28682681918144226,0.29344314336776733,60000,60000
12,desk,15,shower curtain,0.5913428068161011,19,0.28682681918144226,0.2831289768218994,60000,60000
17,sink,11,counter,0.843737006187439,1,0.26289528608322144,0.2693973779678345,60000,60000
17,sink,2,cabinet,0.7561052441596985,2,0.26289528608322144,0.36393454670906067,60000,60000
17,sink,5,sofa,0.7156906723976135,3,0.26289528608322144,0.3074750006198883,60000,60000
17,sink,3,bed,0.7138339877128601,4,0.26289528608322144,0.34343215823173523,60000,60000
17,sink,12,desk,0.7038508653640747,5,0.26289528608322144,0.28682681918144226,60000,60000
17,sink,14,refridgerator,0.698100745677948,6,0.26289528608322144,0.3131377696990967,60000,60000
17,sink,6,table,0.689427375793457,7,0.26289528608322144,0.26624244451522827,60000,60000
17,sink,19,otherfurniture,0.6885663866996765,8,0.26289528608322144,0.38099971413612366,60000,60000
17,sink,9,bookshelf,0.6868947744369507,9,0.26289528608322144,0.3063805401325226,60000,60000
17,sink,16,toilet,0.6830968260765076,10,0.26289528608322144,0.2556133270263672,60000,60000
17,sink,4,chair,0.638549268245697,11,0.26289528608322144,0.23691114783287048,60000,60000
17,sink,7,door,0.6279113292694092,12,0.26289528608322144,0.3749851584434509,60000,60000
17,sink,10,picture,0.6221123933792114,13,0.26289528608322144,0.330432653427124,60000,60000
17,sink,0,wall,0.6138962507247925,14,0.26289528608322144,0.34198588132858276,60000,60000
17,sink,18,bathtub,0.6099014282226562,15,0.26289528608322144,0.29344314336776733,60000,60000
17,sink,15,shower curtain,0.5924514532089233,16,0.26289528608322144,0.2831289768218994,60000,60000
17,sink,13,curtain,0.5553703308105469,17,0.26289528608322144,0.28075599670410156,60000,60000
17,sink,1,floor,0.553826630115509,18,0.26289528608322144,0.2682570815086365,60000,60000
17,sink,8,window,0.5473585724830627,19,0.26289528608322144,0.2803283631801605,60000,60000
2,cabinet,14,refridgerator,0.8973076939582825,1,0.36393454670906067,0.3131377696990967,60000,60000
2,cabinet,19,otherfurniture,0.8688076734542847,2,0.36393454670906067,0.38099971413612366,60000,60000
2,cabinet,5,sofa,0.834746241569519,3,0.36393454670906067,0.3074750006198883,60000,60000
2,cabinet,12,desk,0.831393837928772,4,0.36393454670906067,0.28682681918144226,60000,60000
2,cabinet,9,bookshelf,0.8280077576637268,5,0.36393454670906067,0.3063805401325226,60000,60000
2,cabinet,3,bed,0.8120607137680054,6,0.36393454670906067,0.34343215823173523,60000,60000
2,cabinet,7,door,0.7983320951461792,7,0.36393454670906067,0.3749851584434509,60000,60000
2,cabinet,11,counter,0.7944474816322327,8,0.36393454670906067,0.2693973779678345,60000,60000
2,cabinet,0,wall,0.7933949828147888,9,0.36393454670906067,0.34198588132858276,60000,60000
2,cabinet,10,picture,0.7852795124053955,10,0.36393454670906067,0.330432653427124,60000,60000
2,cabinet,6,table,0.7817585468292236,11,0.36393454670906067,0.26624244451522827,60000,60000
2,cabinet,17,sink,0.7561052441596985,12,0.36393454670906067,0.26289528608322144,60000,60000
2,cabinet,1,floor,0.7414013743400574,13,0.36393454670906067,0.2682570815086365,60000,60000
2,cabinet,4,chair,0.7320145964622498,14,0.36393454670906067,0.23691114783287048,60000,60000
2,cabinet,13,curtain,0.7018325924873352,15,0.36393454670906067,0.28075599670410156,60000,60000
2,cabinet,8,window,0.6674450635910034,16,0.36393454670906067,0.2803283631801605,60000,60000
2,cabinet,16,toilet,0.6514192223548889,17,0.36393454670906067,0.2556133270263672,60000,60000
2,cabinet,15,shower curtain,0.6468721628189087,18,0.36393454670906067,0.2831289768218994,60000,60000
2,cabinet,18,bathtub,0.6446698904037476,19,0.36393454670906067,0.29344314336776733,60000,60000
15,shower curtain,13,curtain,0.6905459761619568,1,0.2831289768218994,0.28075599670410156,60000,60000
15,shower curtain,3,bed,0.6497770547866821,2,0.2831289768218994,0.34343215823173523,60000,60000
15,shower curtain,2,cabinet,0.6468721032142639,3,0.2831289768218994,0.36393454670906067,60000,60000
15,shower curtain,7,door,0.6451404690742493,4,0.2831289768218994,0.3749851584434509,60000,60000
15,shower curtain,18,bathtub,0.639645516872406,5,0.2831289768218994,0.29344314336776733,60000,60000
15,shower curtain,9,bookshelf,0.6311699748039246,6,0.2831289768218994,0.3063805401325226,60000,60000
15,shower curtain,4,chair,0.6158543825149536,7,0.2831289768218994,0.23691114783287048,60000,60000
15,shower curtain,10,picture,0.6100420355796814,8,0.2831289768218994,0.330432653427124,60000,60000
15,shower curtain,14,refridgerator,0.6089162826538086,9,0.2831289768218994,0.3131377696990967,60000,60000
15,shower curtain,0,wall,0.6074846982955933,10,0.2831289768218994,0.34198588132858276,60000,60000
15,shower curtain,19,otherfurniture,0.6049127578735352,11,0.2831289768218994,0.38099971413612366,60000,60000
15,shower curtain,17,sink,0.5924514532089233,12,0.2831289768218994,0.26289528608322144,60000,60000
15,shower curtain,12,desk,0.5913428068161011,13,0.2831289768218994,0.28682681918144226,60000,60000
15,shower curtain,5,sofa,0.5795948505401611,14,0.2831289768218994,0.3074750006198883,60000,60000
15,shower curtain,6,table,0.569074809551239,15,0.2831289768218994,0.26624244451522827,60000,60000
15,shower curtain,11,counter,0.5626828074455261,16,0.2831289768218994,0.2693973779678345,60000,60000
15,shower curtain,8,window,0.5553222298622131,17,0.2831289768218994,0.2803283631801605,60000,60000
15,shower curtain,16,toilet,0.546474039554596,18,0.2831289768218994,0.2556133270263672,60000,60000
15,shower curtain,1,floor,0.5147513747215271,19,0.2831289768218994,0.2682570815086365,60000,60000
7,door,2,cabinet,0.7983320951461792,1,0.3749851584434509,0.36393454670906067,60000,60000
7,door,0,wall,0.7975504398345947,2,0.3749851584434509,0.34198588132858276,60000,60000
7,door,19,otherfurniture,0.7949799299240112,3,0.3749851584434509,0.38099971413612366,60000,60000
7,door,10,picture,0.7738312482833862,4,0.3749851584434509,0.330432653427124,60000,60000
7,door,8,window,0.7584992051124573,5,0.3749851584434509,0.2803283631801605,60000,60000
7,door,9,bookshelf,0.7563145756721497,6,0.3749851584434509,0.3063805401325226,60000,60000
7,door,14,refridgerator,0.753955602645874,7,0.3749851584434509,0.3131377696990967,60000,60000
7,door,3,bed,0.7519932389259338,8,0.3749851584434509,0.34343215823173523,60000,60000
7,door,12,desk,0.737237274646759,9,0.3749851584434509,0.28682681918144226,60000,60000
7,door,5,sofa,0.7327790856361389,10,0.3749851584434509,0.3074750006198883,60000,60000
7,door,1,floor,0.7078484892845154,11,0.3749851584434509,0.2682570815086365,60000,60000
7,door,6,table,0.7030079960823059,12,0.3749851584434509,0.26624244451522827,60000,60000
7,door,4,chair,0.7004221677780151,13,0.3749851584434509,0.23691114783287048,60000,60000
7,door,13,curtain,0.6922668218612671,14,0.3749851584434509,0.28075599670410156,60000,60000
7,door,11,counter,0.6474403142929077,15,0.3749851584434509,0.2693973779678345,60000,60000
7,door,15,shower curtain,0.6451404690742493,16,0.3749851584434509,0.2831289768218994,60000,60000
7,door,17,sink,0.6279113292694092,17,0.3749851584434509,0.26289528608322144,60000,60000
7,door,16,toilet,0.6061884164810181,18,0.3749851584434509,0.2556133270263672,60000,60000
7,door,18,bathtub,0.595479428768158,19,0.3749851584434509,0.29344314336776733,60000,60000
