model,base_miou,oracle2_miou,oracle5_miou,base_picture_iou,oracle2_picture_iou,oracle5_picture_iou,frozen_delta_miou_max,frozen_delta_picture_max,frozen_Rrec2_miou,frozen_Rrec5_miou,frozen_Rrec2_picture,frozen_Rrec5_picture,adapt_delta_miou_max,adapt_delta_picture_max,adapt_Rrec2_miou,adapt_Rrec5_miou,adapt_Rrec2_picture,adapt_Rrec5_picture,recovery_suite,source
Concerto decoder,0.7778,0.9197,0.9775,0.4034,0.8579,0.9427,0.00022,0.0013,0.0015503875968992259,0.0011016524787180772,0.00286028602860286,0.0024105321713332097,0.0187,0.0198,0.1317829457364342,0.09364046069103657,0.04356435643564357,0.0367142592249212,"5-method fixed suite: decoupled classifier, prototype/kNN, constrained Top-K, fixed-rank LoRA, full FT",results_oracle_actionability_analysis.md
Sonata linear,0.7086,0.8747,0.967,0.3582,0.6972,0.8867,,,,,,,,,,,,,5-method fixed suite not run; oracle/actionability diagnostics only,results_sonata_scannet_oracle_actionability_analysis.md
Utonia released stack,0.7574,0.9367,0.9908,0.2952,0.9747,1.0,,,,,,,,,,,,,5-method fixed suite not run; oracle/actionability diagnostics only,results_utonia_scannet_oracle_actionability/oracle_actionability_analysis.md
PTv3 supervised,0.7745,0.9038,0.969,0.4908,0.8785,0.9952,,,,,,,,,,,,,5-method fixed suite not run; oracle/actionability diagnostics only,results_ptv3_scannet20_oracle_actionability.md
