variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
knn_adapt_k20_tau0p1_lam0p2,0.77838998,0.00006476,0.87674395,0.91976013,0.68097797,0.00015225,0.40963041,-0.00007178,0.43033715,-0.00557264,0.68707753,0.70229761,0.70302430,0.72135625,0.75784651,0.78561316
knn_adapt_k20_tau0p05_lam0p2,0.77838831,0.00006308,0.87674311,0.91976069,0.68097225,0.00014653,0.40963337,-0.00006882,0.43033715,-0.00557264,0.68706250,0.70230195,0.70300970,0.72136096,0.75783787,0.78559940
knn_adapt_k5_tau0p05_lam0p2,0.77838408,0.00005886,0.87673508,0.91975835,0.68093925,0.00011353,0.40966702,-0.00003517,0.43036126,-0.00554854,0.68706286,0.70226841,0.70298984,0.72134603,0.75780297,0.78543760
knn_adapt_k5_tau0p1_lam0p2,0.77838221,0.00005699,0.87673717,0.91975843,0.68094176,0.00011604,0.40965666,-0.00004553,0.43036126,-0.00554854,0.68705117,0.70225670,0.70300116,0.72135670,0.75780844,0.78546146
knn_adapt_k10_tau0p05_lam0p2,0.77837488,0.00004965,0.87673672,0.91975804,0.68092786,0.00010214,0.40961805,-0.00008414,0.43033233,-0.00557746,0.68694534,0.70227921,0.70294869,0.72133999,0.75782176,0.78554195
knn_adapt_k10_tau0p1_lam0p2,0.77837443,0.00004921,0.87673650,0.91975818,0.68093140,0.00010568,0.40961083,-0.00009137,0.43032751,-0.00558228,0.68695918,0.70227861,0.70294717,0.72133777,0.75782161,0.78556460
knn_adapt_k50_tau0p05_lam0p05,0.77836845,0.00004323,0.87539847,0.91984227,0.68093917,0.00011345,0.40976615,0.00006396,0.43457930,-0.00133049,0.68658861,0.70303813,0.70478706,0.72094953,0.75857510,0.78286958
knn_adapt_k50_tau0p1_lam0p05,0.77836765,0.00004243,0.87539733,0.91984179,0.68093547,0.00010975,0.40977576,0.00007357,0.43457930,-0.00133049,0.68657692,0.70301548,0.70478799,0.72094167,0.75858089,0.78286958
knn_adapt_k20_tau0p1_lam0p05,0.77836632,0.00004109,0.87539390,0.91984204,0.68092590,0.00010018,0.40974180,0.00003960,0.43459859,-0.00131121,0.68656853,0.70302799,0.70478320,0.72095610,0.75858055,0.78282311
knn_adapt_k10_tau0p05_lam0p05,0.77836417,0.00003895,0.87538965,0.91984190,0.68091621,0.00009050,0.40972640,0.00002420,0.43459859,-0.00131121,0.68657281,0.70304207,0.70475797,0.72093167,0.75857200,0.78281057
knn_adapt_k5_tau0p1_lam0p05,0.77836366,0.00003844,0.87538613,0.91984084,0.68091920,0.00009348,0.40972490,0.00002271,0.43459859,-0.00131121,0.68657874,0.70301721,0.70479516,0.72095875,0.75856848,0.78279115
knn_adapt_k5_tau0p05_lam0p05,0.77836316,0.00003794,0.87538608,0.91984031,0.68092136,0.00009565,0.40972556,0.00002337,0.43459377,-0.00131603,0.68659665,0.70301984,0.70479516,0.72095518,0.75856599,0.78279115
knn_adapt_k20_tau0p05_lam0p05,0.77836238,0.00003716,0.87538966,0.91984168,0.68091979,0.00009407,0.40974329,0.00004109,0.43459859,-0.00131121,0.68656471,0.70302611,0.70476700,0.72095215,0.75857909,0.78280615
knn_adapt_k10_tau0p1_lam0p05,0.77836164,0.00003642,0.87538827,0.91984137,0.68091503,0.00008932,0.40972490,0.00002271,0.43459377,-0.00131603,0.68656517,0.70303846,0.70477989,0.72093312,0.75857132,0.78279238
base,0.77832522,0.00000000,0.87495552,0.91985107,0.68082572,0.00000000,0.40970220,0.00000000,0.43590980,0.00000000,0.68622159,0.70309592,0.70538244,0.72078407,0.75877695,0.78181685
knn_adapt_k50_tau0p1_lam0p4,0.77810571,-0.00021952,0.87847964,0.91952190,0.68072265,-0.00010306,0.40884471,-0.00085749,0.42393054,-0.01197925,0.68703755,0.70041124,0.70024215,0.72202174,0.75661031,0.78989089
knn_adapt_k50_tau0p05_lam0p4,0.77808327,-0.00024195,0.87848288,0.91951658,0.68068334,-0.00014238,0.40881473,-0.00088747,0.42392572,-0.01198407,0.68703680,0.70025533,0.70016380,0.72205167,0.75660991,0.78985117
knn_adapt_k20_tau0p1_lam0p4,0.77802539,-0.00029983,0.87847072,0.91950306,0.68051499,-0.00031072,0.40873926,-0.00096294,0.42390162,-0.01200818,0.68713713,0.69982829,0.69978928,0.72222649,0.75652639,0.78935810
knn_adapt_k20_tau0p05_lam0p4,0.77800486,-0.00032037,0.87847167,0.91950161,0.68048228,-0.00034344,0.40873358,-0.00096861,0.42390162,-0.01200818,0.68711236,0.69973415,0.69968875,0.72223951,0.75651877,0.78934884
knn_k50_tau0p1_lam0p2,0.77800154,-0.00032369,0.88095752,0.91890408,0.68088915,0.00006344,0.40969135,-0.00001084,0.40970006,-0.02620974,0.68844128,0.70082303,0.69912032,0.72182399,0.75315182,0.79317227
knn_k50_tau0p05_lam0p2,0.77797006,-0.00035517,0.88096522,0.91889748,0.68084229,0.00001657,0.40965908,-0.00004311,0.40968560,-0.02622420,0.68844420,0.70071354,0.69902604,0.72184614,0.75314061,0.79306639
knn_adapt_k10_tau0p1_lam0p4,0.77794952,-0.00037571,0.87847138,0.91948843,0.68037563,-0.00045008,0.40867404,-0.00102815,0.42388234,-0.01202746,0.68721849,0.69946931,0.69951827,0.72229823,0.75647557,0.78897552
knn_adapt_k10_tau0p05_lam0p4,0.77794182,-0.00038341,0.87847173,0.91948787,0.68035207,-0.00047364,0.40868570,-0.00101650,0.42386788,-0.01204192,0.68722541,0.69939387,0.69939873,0.72233028,0.75646547,0.78896506
knn_k20_tau0p1_lam0p2,0.77791676,-0.00040847,0.88098179,0.91887841,0.68067594,-0.00014978,0.40956307,-0.00013913,0.40969524,-0.02621456,0.68861229,0.70027970,0.69869221,0.72197118,0.75310129,0.79251184
