model,mean_point_feature_bal_acc,mean_direct_pair_margin_bal_acc,mean_positive_to_negative,mean_oracle_top2_headroom,picture_positive_to_negative,picture_oracle_top2_headroom
Concerto,0.8326161404450735,0.860316147406896,0.20035274133569592,0.2874101895213514,0.4381658487673663,0.45452783317261214
Sonata,0.8731729984283447,0.8400949935118357,0.22648907252214412,0.2759691103852027,0.4783361132268297,0.338944642625284
PTv3 supervised,0.952283134063085,0.9328362147013346,0.11821575109460859,0.24719875853504633,0.23264967251929522,0.38775623925600394
Utonia,0.7627292225758234,0.9480949838956197,0.07962744490950636,0.3490725801630397,0.12842105263157894,0.6795351119992418
