expert,fold,pos_rate,pr_auc,recall_at_p80,recall_at_p90,recall_at_p95
Concerto decoder,0,0.020082131410256412,0.458581805229187,0.0,0.0,0.0
Sonata linear,0,0.02161583533653846,0.37061285972595215,0.0,0.0,0.0
Utonia,0,0.02233260717147436,0.4331360161304474,0.0012613874860107899,0.0,0.0
PTv3_supervised,0,0.017866085737179488,0.4211934804916382,0.0,0.0,0.0
Concerto decoder,1,0.022536057692307692,0.4769625663757324,0.0,0.0,0.0
Sonata linear,1,0.021431164863782052,0.3591606318950653,0.0008762961952015758,0.0002920987317338586,0.0002920987317338586
Utonia,1,0.023694160657051284,0.4484824240207672,0.0010568031575530767,0.0,0.0
PTv3_supervised,1,0.020176031650641024,0.42094358801841736,0.0,0.0,0.0
