run,job,resource,walltime_used,status,train_points,heldout_points,heldout_picture_count,selected_variant,heldout_mIoU,heldout_delta_mIoU,heldout_picture_iou,heldout_picture_delta_iou,val_base_mIoU,val_selected_mIoU,val_delta_mIoU,val_base_picture_iou,val_selected_picture_iou,val_picture_delta_iou,val_base_picture_to_wall,val_selected_picture_to_wall,decision
initial_cap_too_early,133354.qjcm,rt_QF=1,00:01:41,Exit_status=0,500000,250000,0,k5_lam0p2_tau0p5_gap999,0.68849330,0.00082092,0.00000000,0.00000000,0.77940866,0.77940745,-0.00000121,0.40971394,0.41010842,0.00039448,0.43463233,0.42730980,invalid-heldout-rare-class-missing
fullscan_valid,133355.qjcm,rt_QF=1,00:03:34,Exit_status=0,1200000,1168197,60000,k2_lam0p2_tau0p5_gap999,0.91233062,0.00267545,0.92185277,0.00320848,0.77865983,0.77878256,0.00012274,0.40257231,0.40386984,0.00129753,0.43864309,0.42774366,weak-positive-below-gate
