method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_linear_origin_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7695935068628212,0.0,0.8686662498499504,0.9198163005883853,0.664222884161248,0.0,0.419406514993784,0.0,0.8731834991421776,0.9576670487409332,0.40628635615998715,0.0,retained
concerto_linear_origin_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.49988669806565994,0.7704332633555854,0.0008397564927641321,0.8627006662865471,0.9209884373803198,0.6613684047323202,-0.002854479428927803,0.3907299668927385,-0.02867654810104553,0.8740310509349438,0.9569873379835924,0.48045491600625445,0.0741685598462673,retained
concerto_linear_origin_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.30003387882159305,0.7654770081674274,-0.004116498695393878,0.8542088127846602,0.9197586244860515,0.6496187665640117,-0.014604117597236232,0.3738938865430505,-0.045512628450733505,0.8723484976465239,0.9554382159893885,0.5164218188273934,0.1101354626674062,retained
concerto_linear_origin_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.200077336281538,0.7597449996677155,-0.009848507195105771,0.8471195936794782,0.9178007740066062,0.6407958188099594,-0.02342706535128858,0.35033667175917965,-0.06906984323460436,0.8687087745466912,0.953789343239714,0.5458363890926061,0.13955003293261897,retained
concerto_linear_origin_fullscene,random_keep0p1,random_drop,0.1,0.0,64,312,0.09986251960389125,0.7321352705942383,-0.03745823626858291,0.825801124814823,0.9082495816188799,0.6128400741823724,-0.051382809978875565,0.2709597596182156,-0.1484467553755684,0.8560488896047823,0.9478783363342231,0.5812226495159794,0.1749362933559922,retained
concerto_linear_origin_fullscene,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.20010079801655734,0.7587698431552157,-0.010823663707605569,0.8461916721594923,0.9175640196825995,0.6417886483479366,-0.022434235813311387,0.35271657663263184,-0.06668993836115217,0.8690833322186539,0.9531209773193479,0.5494644823329218,0.14317812617293463,retained
concerto_linear_origin_fullscene,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.493934410600326,0.7522697452787666,-0.017323761584054687,0.8494121995710764,0.912234025524842,0.6495014451941375,-0.014721438967110423,0.3823013956271769,-0.0371051193666071,0.8643586344578167,0.9565700975932822,0.4832764961551321,0.07699013999514492,retained
concerto_linear_origin_fullscene,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.19282760147773212,0.7409325391658859,-0.02866096769693538,0.835744680865789,0.9095960940677592,0.6275114661771816,-0.03671141798406641,0.3851194649695259,-0.03428705002425808,0.860166809937115,0.9535108235223455,0.4571198300179507,0.05083347385796355,retained
concerto_linear_origin_fullscene,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.03879421364704365,-0.7307992932157776,0.0913519631795785,0.1897612260423441,0.009934668985663003,-0.654288215175585,0.0,-0.419406514993784,0.015409749302932273,0.4513566240312983,0.00917345314986427,-0.39711290301012286,retained
concerto_linear_origin_fullscene,clean_voxel,clean,1.0,0.0,64,312,1.0,0.7695935068628212,0.0,0.8686662498499504,0.9198163005883853,0.664222884161248,0.0,0.419406514993784,0.0,0.8731834991421776,0.9576670487409332,0.40628635615998715,0.0,full_nn
concerto_linear_origin_fullscene,random_keep0p5,random_drop,0.5,0.0,64,312,0.49988669806565994,0.7675263008440439,-0.002067206018777301,0.8610451926714182,0.9194493915546588,0.6579889929261852,-0.006233891235062794,0.3885479478440456,-0.030858567149738392,0.8715170973712135,0.9532076601879873,0.48167315227129887,0.07538679611131172,full_nn
concerto_linear_origin_fullscene,random_keep0p3,random_drop,0.3,0.0,64,312,0.30003387882159305,0.7604511557294773,-0.00914235113334394,0.8511979966401798,0.9169891836051547,0.6447026804314177,-0.01952020372983032,0.37094505494505475,-0.048461460048729255,0.8676189639502369,0.9486115530047031,0.5172436848932216,0.11095732873323444,full_nn
concerto_linear_origin_fullscene,random_keep0p2,random_drop,0.2,0.0,64,312,0.200077336281538,0.751895872208322,-0.01769763465449925,0.8419998494190779,0.9135968007138643,0.6326196678965267,-0.03160321626472129,0.34416256213031043,-0.07524395286347357,0.8613367751434131,0.9438824743964997,0.5501932309008973,0.14390687474091018,full_nn
