method,variant,kind,observed_keep_frac,repeats,mIoU,delta_mIoU,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall
majority,clean_voxel,clean,1.0,16,0.01431055558254328,0.0,0.2862111116508656,0.0,0.0,0.0,0.0,0.2862111116508656,0.0,1.0,0.0
majority,random_keep0p2,random_drop,0.19974867813289165,16,0.014270281814659919,-4.0273767883361455e-05,0.2854056362931984,0.0,0.0,0.0,0.0,0.2854056362931984,0.0,1.0,0.0
coord_mlp,clean_voxel,clean,1.0,16,0.07524306733287116,0.0,0.4178354279663999,0.00391619496872645,0.0,0.0,0.0,0.317853395526652,0.717198769470494,0.3415361670395227,0.0
coord_mlp,random_keep0p2,random_drop,0.19974867813289165,16,0.0753615414938176,0.00011847416094644403,0.41991576354190446,0.003552181071590468,-0.0003640138971359821,0.0,0.0,0.31934689409833034,0.7179362722704421,0.35855855855855856,0.01702239151903584
