method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_supervised_s3dis_v151,clean_voxel,clean,1.0,0.0,64,16,1.0,0.6155085626358651,0.0,0.6840833150826542,0.9047227777651619,0.4963221994453141,0.0,0.8545167101865764,0.25726213689315536,0.0
ptv3_supervised_s3dis_v151,random_keep0p2,random_drop,0.2,0.0,64,16,0.20017339941114187,0.41828421053249704,-0.19722435210336803,0.4962064126112434,0.826434743417525,0.02991239048810976,-0.4664098089572043,0.7697775584496354,0.9215612449799196,0.6642991080867643
ptv3_supervised_s3dis_v151,structured_b64_keep0p2,structured_drop,0.2,0.0,64,16,0.17990728234872222,0.5150631036666768,-0.10044545896918822,0.6153342774018297,0.8380479739535011,0.4950480940505843,-0.0012741053947297742,0.778185092288893,0.06658595641646489,-0.19067618047669047
ptv3_supervised_s3dis_v151,feature_zero1p0,feature_zero,1.0,1.0,64,16,1.0,0.11608335484229142,-0.49942520779357363,0.17174614189676135,0.6411167377935764,0.0,-0.4963221994453141,0.6718381167383616,1.0,0.7427378631068446
