method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_supervised_scannet200_v151,clean_voxel,clean,1.0,0.0,64,16,1.0,0.16234729210057178,0.0,0.2012336714550374,0.8255775571224049,0.878787878787722,0.0,0.8200183137041857,0.02952755905511811,0.0
ptv3_supervised_scannet200_v151,random_keep0p2,random_drop,0.2,0.0,64,16,0.1994097176939249,0.12418339824184044,-0.03816389385873134,0.15604122979142654,0.8022573863007633,0.0,-0.878787878787722,0.7966494120760077,1.0,0.9704724409448819
ptv3_supervised_scannet200_v151,structured_b64_keep0p2,structured_drop,0.2,0.0,64,16,0.2098287153057754,0.12193951204253795,-0.04040778005803383,0.14336411813916553,0.8071395716443801,0.0,-0.878787878787722,0.77671009546968,nan,nan
ptv3_supervised_scannet200_v151,feature_zero1p0,feature_zero,1.0,1.0,64,16,1.0,0.0017578172509534417,-0.16058947484961833,0.0054551201011377995,0.2742556719391104,0.0,-0.878787878787722,0.2614173721770812,1.0,0.9704724409448819
