variant,picture_wall_acc,picture_wall_bal_acc,picture_acc,wall_acc,picture_wall_auc,picture_wall_train_loss,position_r2_mean,position_r2_row,position_r2_col,train_samples,val_samples,train_picture,val_picture
encoder_pooled,0.9790254831314087,0.5381465442478657,0.08974359184503555,0.9865494966506958,0.6661646366119385,0.007287518586963415,-1.4002962112426758,-0.14384734630584717,-2.656745195388794,12245,9297,245,78
patch_proj,0.9865548014640808,0.5546550936996937,0.11538461595773697,0.9939255714416504,0.6980344653129578,0.01338107232004404,-1.397139072418213,-0.22374629974365234,-2.5705318450927734,12245,9297,245,78
