experiment,job_id,checkpoint,config,epochs,resource,walltime,mIoU,mAcc,allAcc,wall_iou,floor_iou,cabinet_iou,bed_iou,chair_iou,sofa_iou,table_iou,door_iou,window_iou,bookshelf_iou,picture_iou,counter_iou,desk_iou,curtain_iou,refridgerator_iou,shower_curtain_iou,toilet_iou,sink_iou,bathtub_iou,otherfurniture_iou,log_path,rank0_log_path
scannet-dec-origin-e001,133216.qjcm,data/weights/concerto/concerto_base_origin.pth,semseg-ptv3-base-v1m1-0c-scannet-dec-origin-e001,1,rt_QF=2,00:10:19,0.1201,0.1740,0.6499,,,,,,,,,,,,,,,,,,,,data/logs/abciq/scannet_semseg_133216.qjcm.log,data/runs/scannet_decoder_probe_origin/logs/multinode/133216.qjcm_scannet-dec-origin-e001_20260419_031517/logs/qh140.rank0.scannet-dec-origin-e001.log
scannet-dec-origin-e100,133217.qjcm,data/weights/concerto/concerto_base_origin.pth,semseg-ptv3-base-v1m1-0c-scannet-dec-origin-e100,100,rt_QF=2,00:34:04,0.7888,0.8813,0.9243,0.8793,0.9584,0.7318,0.8432,0.9183,0.7931,0.7896,0.7715,0.7630,0.8262,0.4217,0.7044,0.7096,0.8634,0.7647,0.8055,0.9531,0.7199,0.8481,0.7117,data/logs/abciq/scannet_semseg_133217.qjcm.log,data/runs/scannet_decoder_probe_origin/logs/multinode/133217.qjcm_scannet-dec-origin-e100_20260419_032633/logs/qh140.rank0.scannet-dec-origin-e100.log
