method,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall
ptv3_supervised_legacy_color,clean_voxel,clean,1.0,0.0,64,16,1.0,0.17795351636061893,0.0,0.3046274113822201,0.5819103458394964,0.12799237323064466,0.0,0.030575539568344638,0.0,0.5775911123154043,0.8658820416288283,0.9248511904761905,0.0
ptv3_supervised_legacy_color,random_keep0p2,random_drop,0.2,0.0,64,16,0.20021269470453262,0.12207894412339951,-0.05587457223721942,0.21205099835429414,0.4729859651905005,0.08561865337260097,-0.042373719858043696,0.0,-0.030575539568344638,0.37293656936245867,0.827166197009592,0.9561904761904761,0.03133928571428568
ptv3_supervised_legacy_color,structured_b64_keep0p2,structured_drop,0.2,0.0,64,16,0.26852467423304915,0.15855060567868684,-0.01940291068193209,0.2546326419643867,0.5798828041681692,0.1508822081544637,0.022889834923819047,0.0,-0.030575539568344638,0.6292731207001944,0.8174416138382853,nan,nan
ptv3_supervised_legacy_color,feature_zero1p0,feature_zero,1.0,1.0,64,16,1.0,0.060978523296766264,-0.11697499306385267,0.10876717255493304,0.42763682292430866,0.0009618828533765584,-0.1270304903772681,0.0,-0.030575539568344638,0.39949556302077943,0.49587133145415335,0.4646577380952381,-0.4601934523809524
