condition,continuation_seed,linear_seed,continuation_status,checkpoint_path,linear_log,val_miou_percent,val_macc_percent,val_allacc_percent,best_val_miou_percent,notes
xyz_only_input_partial,1,0,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed1-gpu1/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed1-gpu1-lin-seed0/train.log,32.71,45.97,71.00,30.71,Checkpoint produced before the continuation finished all five epochs; use as partial-continuation diagnostic only.
xyz_only_input_partial,1,1,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed1-gpu1/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed1-gpu1-lin-seed1/train.log,32.91,44.95,71.14,30.67,Same partial continuation checkpoint as seed1/linear0.
xyz_only_input_partial,1,2,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed1-gpu1/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed1-gpu1-lin-seed2/train.log,32.59,45.28,70.90,30.45,Same partial continuation checkpoint as seed1/linear0.
xyz_only_input_partial,0,0,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed0-gpu2-safe/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed0-gpu2-safe-lin-seed0/train.log,32.43,45.33,70.75,30.37,Checkpoint produced before the continuation finished all five epochs; use as partial-continuation diagnostic only.
xyz_only_input_partial,2,0,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed2-gpu3-safe/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed2-gpu3-safe-lin-seed0/train.log,29.94,42.38,69.74,27.99,Checkpoint produced before the continuation finished all five epochs; use as partial-continuation diagnostic only.
xyz_only_input_partial,3,0,oom_after_epoch2,exp/concerto/arkit-full-continue-xyz-only-input-seed3-gpu0-safe/model/model_last.pth,exp/concerto/scannet-proxy-xyz-only-input-seed3-gpu0-safe-lin-seed0/train.log,31.39,43.79,70.25,29.25,Checkpoint produced before the continuation finished all five epochs; use as partial-continuation diagnostic only.
