phase,variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
train_heldout,train_residual_kl0.03_safe4,0.9457697845060201,0.9743007158794619,0.9786456219561684,0.9173115284132457,0.8720152817573604,0.9620916950100377,0.8988168094654876,0.9585368624332561,0.9215973238553145,0.038865546218487396
train_heldout,train_residual_kl0_safe4,0.945743982748529,0.9736400170520154,0.978506113027597,0.917853863886003,0.8701854493580186,0.9617051294971269,0.9012244897958815,0.957949767018974,0.9204831052778489,0.03676470588235294
train_heldout,train_residual_kl0_safe2,0.9452498526072896,0.9733011758217011,0.978160511363636,0.9168989094709918,0.8681474480150818,0.960840697834149,0.9031993437243272,0.956702085345753,0.9178330199846744,0.03413865546218487
train_heldout,train_residual_kl0.03_safe2,0.9450259251587447,0.9736572899644674,0.9783190442370127,0.9160420883971759,0.8647502356267265,0.9612611455619556,0.9010989010988644,0.9561219276834823,0.9191232572657215,0.03413865546218487
val_final,avgprob_all,0.8023111067563986,0.8841465084033768,0.9302002666922772,0.7078747819306753,0.4171110674683504,0.8879239747299227,0.7263225018342736,0.7687079646017699,0.7899079457972799,0.45788702384280905
val_final,single::Concerto fullFT,0.7960491969388752,0.8768340983655791,0.9276196847506207,0.7001412639575931,0.4313167611530395,0.8838216279451605,0.708884886221594,0.777250142957805,0.7773952347144022,0.40093616528957493
val_final,train_residual_kl0.03_safe4,0.7959711055907943,0.8755638382292019,0.9276370755441019,0.6992241126598444,0.42784918781688946,0.8835879527097168,0.7066287915637097,0.7781467570243762,0.7761914538926173,0.4228314420416309
