variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprob_all,0.7845256382867908,0.8741059392209248,0.9230285431414584,0.6853474287111814,0.4038879355283032,0.8781554031062984,0.7012564349642113,0.7374153596045642,0.7677736326496828,0.4745712054453775
single::Concerto decoder,0.7796489389139936,0.8752443730567414,0.9202692039091159,0.6820845645876886,0.40915606817740185,0.8727123861918799,0.6912002761901106,0.7198404122373001,0.7592764662556647,0.43992537673180937
cv_linear_stacker_w0,0.7883087688470454,0.8662848284723805,0.9238544107427836,0.6830242090638744,0.3467668057206452,0.8733009712850359,0.6923049771945579,0.7315640735038174,0.7733746106494173,0.5481194743590979
cv_linear_stacker_w0.5,0.7909501569542834,0.890842763793384,0.9237189074769097,0.6903038828127698,0.3835591759771083,0.8763064922170167,0.6897032940327412,0.7387384289042027,0.7729453574302134,0.37144358423077295
