variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
multiproto8_adapt_tau0p2_lam0p1,0.77876777,0.00002458,0.87449375,0.92011294,0.67944171,0.00002940,0.40637363,0.00004336,0.43702336,-0.00067489,0.68324529,0.70420328,0.70734286,0.72204487,0.75780646,0.77507559
proto_adapt_tau0p2_lam0p05,0.77875686,0.00001366,0.87444826,0.92011207,0.67943993,0.00002762,0.40636072,0.00003044,0.43713906,-0.00055919,0.68324802,0.70417957,0.70737322,0.72201012,0.75782607,0.77508181
multiproto8_adapt_tau0p2_lam0p05,0.77874810,0.00000490,0.87441093,0.92011132,0.67941449,0.00000219,0.40631015,-0.00002013,0.43743311,-0.00026513,0.68323528,0.70420354,0.70735933,0.72201319,0.75784130,0.77493868
multiproto4_adapt_tau0p2_lam0p05,0.77874753,0.00000433,0.87441574,0.92011026,0.67940904,-0.00000327,0.40632648,-0.00000379,0.43736563,-0.00033262,0.68322763,0.70419356,0.70733632,0.72201492,0.75784263,0.77492172
base,0.77874319,0.00000000,0.87434213,0.92011182,0.67941231,0.00000000,0.40633028,0.00000000,0.43769825,0.00000000,0.68320174,0.70417757,0.70745676,0.72197710,0.75786183,0.77488089
proto_adapt_tau0p05_lam0p4,0.77873880,-0.00000439,0.87760346,0.92000388,0.67956521,0.00015290,0.40451710,-0.00181317,0.42599377,-0.01170448,0.68434494,0.70235559,0.70464660,0.72303768,0.75613546,0.78191907
multiproto8_adapt_tau0p05_lam0p4,0.77869323,-0.00004996,0.87713483,0.91995388,0.67931075,-0.00010156,0.40552833,-0.00080195,0.42659153,-0.01110672,0.68380053,0.70296332,0.70487894,0.72290623,0.75647488,0.77862302
multiproto8_tau0p05_lam0p2,0.77861666,-0.00012653,0.87916142,0.91960833,0.67939151,-0.00002080,0.40612409,-0.00020619,0.41374939,-0.02394886,0.68499110,0.70344783,0.70426453,0.72308018,0.75465965,0.77917316
multiproto4_adapt_tau0p05_lam0p4,0.77857554,-0.00016765,0.87714835,0.91995179,0.67897721,-0.00043510,0.40572288,-0.00060740,0.42632157,-0.01137667,0.68400723,0.70300702,0.70361259,0.72262339,0.75665034,0.77721704
multiproto4_tau0p05_lam0p2,0.77852043,-0.00022276,0.87921636,0.91964074,0.67910458,-0.00030773,0.40632937,-0.00000091,0.41340230,-0.02429595,0.68540802,0.70361582,0.70304356,0.72272139,0.75527737,0.77733653
multiproto8_tau0p1_lam0p4,0.77825129,-0.00049190,0.88117146,0.91921653,0.67904031,-0.00037200,0.40534215,-0.00098813,0.39675668,-0.04094156,0.68614205,0.70247094,0.70272507,0.72314423,0.75368948,0.77976826
proto_tau0p1_lam0p4,0.77820807,-0.00053513,0.88285097,0.91912796,0.67903706,-0.00037525,0.40029732,-0.00603296,0.38474851,-0.05294974,0.68618086,0.70199927,0.70202858,0.72312280,0.75314169,0.78648888
multiproto4_tau0p1_lam0p4,0.77806269,-0.00068050,0.88138278,0.91918593,0.67871656,-0.00069575,0.40502566,-0.00130462,0.39393662,-0.04376163,0.68680175,0.70350930,0.70096777,0.72274900,0.75457741,0.77738500
proto_tau0p05_lam0p4,0.77621815,-0.00252504,0.88645846,0.91774155,0.67623835,-0.00317396,0.38974625,-0.01658403,0.36561063,-0.07208762,0.68558258,0.69802672,0.69745599,0.72310200,0.74745338,0.79230153
multiproto8_tau0p05_lam0p4,0.77550355,-0.00323964,0.88542059,0.91724153,0.67474436,-0.00466795,0.39481437,-0.01151591,0.36956836,-0.06812989,0.68563521,0.69583495,0.69661112,0.72330745,0.74511882,0.78188862
multiproto4_tau0p05_lam0p4,0.77549302,-0.00325018,0.88534525,0.91747932,0.67479356,-0.00461875,0.39573650,-0.01059377,0.36899953,-0.06869872,0.68643752,0.69943960,0.69293923,0.72245195,0.74897158,0.77757853
