[info] load_weight missing=0 unexpected=0
stress,batches,enc2d_loss_mean
clean,20,3.628110
local_surface_destroy,20,4.223210
z_flip,20,4.181930
xy_swap,20,3.624020
roll_90_x,20,4.302245
