method,condition,miou,miou_delta,weak_mean,mean_keep_frac,iou_wall,iou_picture,iou_counter,iou_desk,iou_sink,iou_cabinet,iou_shower_curtain,iou_door
utonia_scannet_linear_head,clean,0.42290348427150803,0.0,0.39163168797534975,1.0,0.833060830751371,0.0,0.7587155963302706,0.0,0.5840833728090675,0.5111857812361821,0.0,0.8874370654519278
utonia_scannet_linear_head,random_keep0p2,0.4113493163314644,-0.011554167940043658,0.37007738748434,0.19989637479126027,0.8280626582226626,0.0,0.759436584913815,0.0,0.5341861490956976,0.3992642395027264,0.0,0.897654738878141
utonia_scannet_linear_head,structured_b1p28m_keep0p2,0.164943507341335,-0.25795997693017303,0.10820895950932205,0.20486817938926963,0.4639677900467497,0.0,0.18132983463709232,0.0,0.0,0.13689098483971743,0.0,0.4392418970884445
utonia_scannet_linear_head,masked_model_keep0p2,0.1238218546560977,-0.29908162961541035,0.051248435192154336,0.14843606580329216,0.3997156398104264,0.0,0.1469257479569284,0.0,0.0,0.10348760292876508,0.0,0.10832569545938688
utonia_scannet_linear_head,fixed_points_4000,0.1914669656027851,-0.23143651866872295,0.11648571940541216,0.021086537311508675,0.6071098189507067,0.0,0.4837479571454484,0.0,0.0,0.16254109219370963,0.0,0.16911098649872713
utonia_scannet_linear_head,feature_zero,0.4080498419883683,-0.014853642283139734,0.38958642073941807,1.0,0.8379887347389497,0.0,0.7150472217393783,0.0,0.652106885919802,0.5240207972270347,0.0,0.8359300402897113
utonia_scannet_linear_head,feat_zero_color_normal,0.416065843840721,-0.006837640430787051,0.4023802892771237,1.0,0.851957129923411,0.0,0.7251091067791637,0.0,0.6657667386608712,0.5613789978476738,0.0,0.8644071816521574
utonia_scannet_linear_head,feat_zero_coord,0.4177822315512281,-0.005121252720279912,0.38467140385729054,1.0,0.8325903505453107,0.0,0.757519950890112,0.0,0.5361233480175975,0.5072586782181101,0.0,0.8917978498752138
utonia_scannet_linear_head,raw_wo_color,0.4144720403744498,-0.008431443897058244,0.3848511987250806,1.0,0.8276867608312365,0.0,0.7313675412119763,0.0,0.6425916091343259,0.581125311720696,0.0,0.7388739290085661
utonia_scannet_linear_head,raw_wo_normal,0.41157013903609013,-0.011333345235417902,0.38718045417766916,1.0,0.8297598923305805,0.0,0.7402195669315174,0.0,0.5871121718376808,0.4927759254509689,0.0,0.8901555150235171
utonia_scannet_linear_head,raw_wo_color_normal,0.4137221112452358,-0.009181373026272255,0.39876388002328805,1.0,0.8507842547343939,0.0,0.7240940141252709,0.0,0.6684841875681206,0.5504281814442222,0.0,0.8483407770254026
