[info] load_weight missing=0 unexpected=0
stress,batches,enc2d_loss_mean
clean,20,3.405929
local_surface_destroy,20,3.397875
z_flip,20,3.406161
xy_swap,20,3.405618
roll_90_x,20,3.406542
