[info] load_weight missing=0 unexpected=0
stress,batches,enc2d_loss_mean
clean,20,3.404321
local_surface_destroy,20,3.448366
z_flip,20,3.525088
xy_swap,20,3.401597
roll_90_x,20,3.491385
