target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
7,door,6,table,10290,0.006430482361168136
7,door,7,door,1590479,0.9939307245197605
7,door,8,window,684753,0.42791954210466127
7,door,9,bookshelf,16079,0.010048175499049801
7,door,10,picture,16351,0.010218155207722079
7,door,11,counter,469,0.00029309001237977215
7,door,12,desk,13773,0.008607097527732628
7,door,13,curtain,89899,0.056180168492386225
7,door,14,refridgerator,6275,0.003921406882053455
7,door,15,shower curtain,3071,0.0019191459019579538
7,door,16,toilet,87,5.43685097591475e-05
7,door,17,sink,661,0.0004130756890896149
7,door,18,bathtub,1773,0.0011079927333674544
7,door,19,otherfurniture,443121,0.27691756796532413
