class_id,class_name,other_id,other_name,centroid_cosine,rank,class_within_cos_distance,other_within_cos_distance,class_count,other_count
10,picture,0,wall,0.6597273349761963,1,0.3317577540874481,0.3922659456729889,60000,60000
10,picture,7,door,0.5443379282951355,2,0.3317577540874481,0.3883651793003082,60000,60000
10,picture,8,window,0.5436887741088867,3,0.3317577540874481,0.3771562874317169,60000,60000
10,picture,2,cabinet,0.5309258103370667,4,0.3317577540874481,0.4531964957714081,60000,60000
10,picture,13,curtain,0.48513996601104736,5,0.3317577540874481,0.3141219913959503,60000,60000
10,picture,19,otherfurniture,0.47686904668807983,6,0.3317577540874481,0.445069819688797,60000,60000
10,picture,3,bed,0.4711718261241913,7,0.3317577540874481,0.4392167925834656,60000,60000
10,picture,1,floor,0.466846227645874,8,0.3317577540874481,0.3481411039829254,60000,60000
10,picture,9,bookshelf,0.4549386501312256,9,0.3317577540874481,0.3815078139305115,60000,60000
10,picture,6,table,0.4445815086364746,10,0.3317577540874481,0.4039524793624878,60000,60000
10,picture,5,sofa,0.43185463547706604,11,0.3317577540874481,0.37542468309402466,60000,60000
10,picture,12,desk,0.42904895544052124,12,0.3317577540874481,0.3986474871635437,60000,60000
10,picture,11,counter,0.4098302721977234,13,0.3317577540874481,0.3455457091331482,60000,60000
10,picture,15,shower curtain,0.38668522238731384,14,0.3317577540874481,0.23083259165287018,60000,60000
10,picture,4,chair,0.37209513783454895,15,0.3317577540874481,0.3339739441871643,60000,60000
10,picture,14,refridgerator,0.353287011384964,16,0.3317577540874481,0.29757434129714966,60000,60000
10,picture,18,bathtub,0.34457045793533325,17,0.3317577540874481,0.27964234352111816,60000,60000
10,picture,17,sink,0.3326583206653595,18,0.3317577540874481,0.35485532879829407,60000,60000
10,picture,16,toilet,0.2859271764755249,19,0.3317577540874481,0.28447645902633667,60000,60000
11,counter,2,cabinet,0.6493520140647888,1,0.3455457091331482,0.4531964957714081,60000,60000
11,counter,17,sink,0.6350128054618835,2,0.3455457091331482,0.35485532879829407,60000,60000
11,counter,12,desk,0.5270227193832397,3,0.3455457091331482,0.3986474871635437,60000,60000
11,counter,3,bed,0.5044261813163757,4,0.3455457091331482,0.4392167925834656,60000,60000
11,counter,0,wall,0.48000568151474,5,0.3455457091331482,0.3922659456729889,60000,60000
11,counter,6,table,0.47742098569869995,6,0.3455457091331482,0.4039524793624878,60000,60000
11,counter,1,floor,0.4553094208240509,7,0.3455457091331482,0.3481411039829254,60000,60000
11,counter,19,otherfurniture,0.4488421082496643,8,0.3455457091331482,0.445069819688797,60000,60000
11,counter,7,door,0.44674304127693176,9,0.3455457091331482,0.3883651793003082,60000,60000
11,counter,9,bookshelf,0.44310086965560913,10,0.3455457091331482,0.3815078139305115,60000,60000
11,counter,14,refridgerator,0.4372784197330475,11,0.3455457091331482,0.29757434129714966,60000,60000
11,counter,8,window,0.4226623773574829,12,0.3455457091331482,0.3771562874317169,60000,60000
11,counter,5,sofa,0.42252063751220703,13,0.3455457091331482,0.37542468309402466,60000,60000
11,counter,10,picture,0.4098302721977234,14,0.3455457091331482,0.3317577540874481,60000,60000
11,counter,4,chair,0.3962138295173645,15,0.3455457091331482,0.3339739441871643,60000,60000
11,counter,18,bathtub,0.3941522240638733,16,0.3455457091331482,0.27964234352111816,60000,60000
11,counter,13,curtain,0.3892253041267395,17,0.3455457091331482,0.3141219913959503,60000,60000
11,counter,15,shower curtain,0.35824182629585266,18,0.3455457091331482,0.23083259165287018,60000,60000
11,counter,16,toilet,0.32221847772598267,19,0.3455457091331482,0.28447645902633667,60000,60000
12,desk,6,table,0.6930546760559082,1,0.3986474871635437,0.4039524793624878,60000,60000
12,desk,2,cabinet,0.6248334646224976,2,0.3986474871635437,0.4531964957714081,60000,60000
12,desk,3,bed,0.5902365446090698,3,0.3986474871635437,0.4392167925834656,60000,60000
