class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,104929,0.5058233144686226,0.503671780171221,0.5079748487660242,207442
10,picture,topk,2,168148,0.8105783785347229,0.8088921361226229,0.812264620946823,207442
10,picture,topk,3,180308,0.869197173185758,0.8677461463537147,0.8706482000178012,207442
10,picture,topk,5,192635,0.9286210121383326,0.9275130825219081,0.9297289417547571,207442
10,picture,topk,10,203932,0.9830796077939858,0.9825245895200932,0.9836346260678784,207442
10,picture,topk,20,207442,1.0,1.0,1.0,207442
10,picture,topk_plus_confusion_graph,1,204781,0.987172318045526,0.986688058375272,0.98765657771578,207442
10,picture,topk_plus_confusion_graph,2,206584,0.9958639041274188,0.9955877172626594,0.9961400909921782,207442
10,picture,topk_plus_confusion_graph,3,206877,0.9972763471235333,0.9970520667019689,0.9975006275450977,207442
10,picture,topk_plus_confusion_graph,5,207350,0.9995565025404691,0.9994658965382688,0.9996471085426695,207442
11,counter,topk,1,186973,0.8438933020400794,0.8423819524526767,0.8454046516274821,221560
11,counter,topk,2,211352,0.9539267015706806,0.9530537451808284,0.9547996579605328,221560
11,counter,topk,3,217324,0.9808810254558584,0.9803107944115379,0.981451256500179,221560
11,counter,topk,5,219356,0.9900523560209424,0.9896391186491307,0.9904655933927542,221560
11,counter,topk,10,221078,0.9978245170608413,0.9976305109903599,0.9980185231313227,221560
11,counter,topk,20,221560,1.0,1.0,1.0,221560
11,counter,topk_plus_confusion_graph,1,206506,0.9320545224769814,0.9310066430118183,0.9331024019421444,221560
11,counter,topk_plus_confusion_graph,2,220460,0.9950352049106337,0.9947425335135074,0.99532787630776,221560
11,counter,topk_plus_confusion_graph,3,221423,0.9993816573388699,0.9992781453422854,0.9994851693354543,221560
11,counter,topk_plus_confusion_graph,5,221538,0.9999007040982126,0.9998592130418232,0.999942195154602,221560
7,door,topk,1,1381535,0.8633563118402741,0.8628241300849864,0.8638884935955617,1600191
7,door,topk,2,1561112,0.9755785403117503,0.9753393811138644,0.9758176995096361,1600191
7,door,topk,3,1584779,0.990368649742437,0.9902173242171308,0.9905199752677432,1600191
7,door,topk,5,1595416,0.9970159812172422,0.9969314685135465,0.9971004939209379,1600191
7,door,topk,10,1599962,0.9998568920835075,0.9998383580087105,0.9998754261583045,1600191
7,door,topk,20,1600191,1.0,1.0,1.0,1600191
7,door,topk_plus_confusion_graph,1,1549490,0.9683156573184076,0.9680442628524549,0.9685870517843603,1600191
7,door,topk_plus_confusion_graph,2,1597026,0.9980221111104862,0.9979532710589719,0.9980909511620005,1600191
7,door,topk_plus_confusion_graph,3,1599624,0.9996456672984663,0.9996165065396229,0.9996748280573097,1600191
7,door,topk_plus_confusion_graph,5,1600138,0.9999668789538249,0.9999579620313583,0.9999757958762914,1600191
